State,2005 PVI,Raw PVI,Rank (D to R),,,
Alabama,R+11,R+10.71,43,,,
Alaska,R+14,R+13.54,46,,,
Arizona,R+4,R+3.91,30,,,
Arkansas,R+4,R+3.54,29,,,
California,D+6,D+6.2,10,,,
Colorado,R+2,R+2.03,26,,,
Connecticut,D+7,D+7.14,7,,,
Delaware,D+5,D+5.42,12,,,
D.C.,D+41,D+41.38,1,,,
Florida,R+1,R+1.03,25,,,
Georgia,R+7,R+6.9,35,,,
Hawaii,D+7,D+6.63,8,,,
Idaho,R+19,R+18.84,49,,,
Illinois,D+6,D+6.32,9,,,
Indiana,R+9,R+8.95,39,,,
Iowa,D+1,D+0.65,21,,,
Kansas,R+12,R+11.51,44,,,
Kentucky,R+9,R+8.57,37,,,
Louisiana,R+6,R+5.62,34,,,
Maine,D+5,D+4.99,13,,,
Maryland,D+8,D+7.91,6,,,
Massachusetts,D+14,D+14.12,2,,,
Michigan,D+3,D+2.82,15,,,
Minnesota,D+3,D+2.51,16,,,
Mississippi,R+9,R+8.73,38,,,
Missouri,R+2,R+2.28,27,,,
Montana,R+10,R+10.42,41,,,
Nebraska,R+16,R+15.56,48,,,
Nevada,R+1,R+0.59,24,,,
New Hampshire,D+1,D+1.22,19,,,
New Jersey,D+5,D+5.45,11,,,
New Mexico,D+1,D+0.57,22,,,
New York,D+11,D+11.1,4,,,
North Carolina,R+5,R+5.43,33,,,
North Dakota,R+13,R+13.25,45,,,
Ohio,EVEN,R+0.38,23,,,
Oklahoma,R+14,R+13.58,47,,,
Oregon,D+3,D+2.51,17,,,
Pennsylvania,D+2,D+2.35,18,,,
Rhode Island,D+13,D+12.71,3,,,
South Carolina,R+8,R+7.65,36,,,
South Dakota,R+10,R+10.22,40,,,
Tennessee,R+5,R+5.01,32,,,
Texas,R+11,R+10.51,42,,,
Utah,R+22,R+22.08,51,,,
Vermont,D+10,D+9.95,5,,,
Virginia,R+3,R+3.27,28,,,
Washington,D+4,D+4.34,14,,,
West Virginia,R+5,R+4.8,31,,,
Wisconsin,D+1,D+1.04,20,,,
Wyoming,R+20,R+19.61,50,,,
