State,2009 PVI,Raw PVI,Rank (D to R),,,
Alabama,R+14,R+13.85,46,,,
Alaska,R+11,R+14.06,47,,,
Arizona,R+7,R+7.01,33,,,
Arkansas,R+14,R+11.32,42,,,
California,D+10,D+8.01,9,,,
Colorado,EVEN,D+0.37,24,,,
Connecticut,D+7,D+7.35,11,,,
Delaware,D+8,D+7.98,10,,,
D.C.,D+40,D+40.23,1,,,
Florida,R+2,R+2.02,27,,,
Georgia,R+6,R+6.52,32,,,
Hawaii,D+20,D+15.89,2,,,
Idaho,R+18,R+17.05,48,,,
Illinois,D+7,D+8.4,8,,,
Indiana,R+6,R+4.67,30,,,
Iowa,D+1,D+1.1,23,,,
Kansas,R+13,R+11.38,44,,,
Kentucky,R+13,R+11.13,41,,,
Louisiana,R+11,R+11.38,43,,,
Maine,D+6,D+5.31,12,,,
Maryland,D+11,D+8.88,7,,,
Massachusetts,D+10,D+10.63,5,,,
Michigan,D+3,D+4.25,16,,,
Minnesota,D+2,D+1.91,20,,,
Mississippi,R+8,R+9.92,39,,,
Missouri,R+6,R+3.41,28,,,
Montana,R+8,R+5.96,31,,,
Nebraska,R+13,R+12.37,45,,,
Nevada,D+2,D+2.01,19,,,
New Hampshire,D+1,D+1.37,22,,,
New Jersey,D+6,D+4.29,15,,,
New Mexico,D+3,D+3.19,17,,,
New York,D+12,D+10.05,6,,,
North Carolina,R+3,R+3.89,29,,,
North Dakota,R+11,R+9.24,37,,,
Ohio,R+1,R+0.97,25,,,
Oklahoma,R+19,R+18.08,49,,,
Oregon,D+4,D+4.38,14,,,
Pennsylvania,D+2,D+1.78,21,,,
Rhode Island,D+12,D+10.84,4,,,
South Carolina,R+8,R+8.02,34,,,
South Dakota,R+10,R+8.41,35,,,
Tennessee,R+12,R+9.98,40,,,
Texas,R+10,R+9.79,38,,,
Utah,R+24,R+19.19,50,,,
Vermont,D+16,D+14.29,3,,,
Virginia,R+0,R+1.1,26,,,
Washington,D+6,D+5.02,13,,,
West Virginia,R+14,R+9.08,36,,,
Wisconsin,D+2,D+2.88,18,,,
Wyoming,R+22,R+19.96,51,,,
