State,2017 PVI,Raw PVI,Rank (D to R),,,
Alabama,R+15,R+14.91,42,,,
Alaska,R+9,R+9.44,33,,,
Arizona,R+4,R+3.9,27,,,
Arkansas,R+15,R+15.08,43,,,
California,D+14,D+13.74,4,,,
Colorado,D+1,D+1.37,17,,,
Connecticut,D+6,D+6.22,12,,,
Delaware,D+6,D+5.53,13,,,
D.C.,D+44,D+43.59,1,,,
Florida,R+2,R+1.68,25,,,
Georgia,R+4,R+4.31,29,,,
Hawaii,D+17,D+17.18,2,,,
Idaho,R+19,R+19.16,48,,,
Illinois,D+8,D+7.58,9,,,
Indiana,R+10,R+10.21,36,,,
Iowa,R+4,R+4.38,30,,,
Kansas,R+12,R+12.44,39,,,
Kentucky,R+16,R+15.96,45,,,
Louisiana,R+11,R+11.14,37,,,
Maine,D+2,D+1.84,16,,,
Maryland,D+13,D+12.52,6,,,
Massachusetts,D+13,D+12.61,5,,,
Michigan,EVEN,R+0.21,21,,,
Minnesota,EVEN,D+0.28,20,,,
Mississippi,R+10,R+9.59,34,,,
Missouri,R+10,R+9.88,35,,,
Montana,R+11,R+11.42,38,,,
Nebraska,R+14,R+14.27,41,,,
Nevada,EVEN,D+0.5,19,,,
New Hampshire,EVEN,R+0.47,22,,,
New Jersey,D+6,D+6.38,11,,,
New Mexico,D+3,D+3.49,15,,,
New York,D+11,D+11.08,7,,,
North Carolina,R+3,R+3.01,26,,,
North Dakota,R+19,R+18.71,47,,,
Ohio,R+4,R+4.15,28,,,
Oklahoma,R+20,R+20,49,,,
Oregon,D+5,D+4.86,14,,,
Pennsylvania,R+1,R+0.92,24,,,
Rhode Island,D+8,D+8.41,8,,,
South Carolina,R+8,R+8.25,32,,,
South Dakota,R+16,R+15.61,44,,,
Tennessee,R+14,R+14.13,40,,,
Texas,R+7,R+6.86,31,,,
Utah,R+17,R+16.77,46,,,
Vermont,D+15,D+14.63,3,,,
Virginia,D+1,D+1.29,18,,,
Washington,D+7,D+7.17,10,,,
West Virginia,R+21,R+21.37,50,,,
Wisconsin,R+1,R+0.75,23,,,
Wyoming,R+26,R+25.9,51,,,
