State,2021 PVI,Raw PVI,Rank (D to R),,,
Alabama,R+15,R+15.26,43,,,
Alaska,R+8,R+8.02,32,,,
Arizona,R+2,R+2.34,25,,,
Arkansas,R+16,R+16.21,46,,,
California,D+13,D+13.23,6,,,
Colorado,D+4,D+3.89,15,,,
Connecticut,D+7,D+7.45,10,,,
Delaware,D+7,D+6.74,12,,,
D.C.,D+43,D+42.79,1,,,
Florida,R+3,R+3.41,28,,,
Georgia,R+3,R+2.56,26,,,
Hawaii,D+14,D+13.65,5,,,
Idaho,R+18,R+18.47,47,,,
Illinois,D+7,D+6.77,11,,,
Indiana,R+11,R+10.66,37,,,
Iowa,R+6,R+6.38,31,,,
Kansas,R+10,R+10.38,35,,,
Kentucky,R+16,R+15.8,44,,,
Louisiana,R+12,R+11.62,39,,,
Maine,D+2,D+1.92,18,,,
Maryland,D+14,D+14.3,4,,,
Massachusetts,D+15,D+14.52,3,,,
Michigan,R+1,R+0.95,22,,,
Minnesota,D+1,D+0.96,19,,,
Mississippi,R+11,R+10.54,36,,,
Missouri,R+10,R+10.31,34,,,
Montana,R+11,R+11.06,38,,,
Nebraska,R+13,R+12.71,40,,,
Nevada,R+1,R+0.74,21,,,
New Hampshire,D+1,D+0.88,20,,,
New Jersey,D+6,D+5.89,13,,,
New Mexico,D+3,D+3.32,16,,,
New York,D+10,D+9.76,7,,,
North Carolina,R+3,R+2.97,27,,,
North Dakota,R+20,R+19.84,49,,,
Ohio,R+6,R+6.11,30,,,
Oklahoma,R+20,R+19.51,48,,,
Oregon,D+6,D+5.79,14,,,
Pennsylvania,R+2,R+1.63,23,,,
Rhode Island,D+8,D+8.05,8,,,
South Carolina,R+8,R+8.29,33,,,
South Dakota,R+16,R+16.05,45,,,
Tennessee,R+14,R+14.26,42,,,
Texas,R+5,R+5.28,29,,,
Utah,R+13,R+13.1,41,,,
Vermont,D+16,D+15.54,2,,,
Virginia,D+3,D+2.59,17,,,
Washington,D+8,D+7.66,9,,,
West Virginia,R+22,R+22.37,50,,,
Wisconsin,R+2,R+1.84,24,,,
Wyoming,R+25,R+25.27,51,,,
