State,1997 PVI,Raw PVI,Rank (D to R),,,
Alabama,R+8,R+8.17,43,,,
Alaska,R+14,R+13.88,48,,,
Arizona,R+4,R+3.82,32,,,
Arkansas,D+5,D+5.1,8,,,
California,D+3,D+3.13,16,,,
Colorado,R+4,R+4.28,33,,,
Connecticut,D+4,D+4.39,11,,,
Delaware,D+3,D+3.35,15,,,
D.C.,D+36,D+35.75,1,,,
Florida,R+2,R+2.35,28,,,
Georgia,R+5,R+4.8,34,,,
Hawaii,D+8,D+7.97,6,,,
Idaho,R+15,R+14.93,49,,,
Illinois,D+5,D+4.93,9,,,
Indiana,R+8,R+7.74,41,,,
Iowa,D+1,D+0.82,21,,,
Kansas,R+13,R+12.86,47,,,
Kentucky,R+4,R+3.55,31,,,
Louisiana,D+1,D+1.17,19,,,
Maine,D+7,D+6.59,7,,,
Maryland,D+4,D+4.14,12,,,
Massachusetts,D+13,D+12.59,3,,,
Michigan,D+2,D+2.23,18,,,
Minnesota,D+5,D+4.55,10,,,
Mississippi,R+8,R+7.71,40,,,
Missouri,EVEN,R+0.13,26,,,
Montana,R+5,R+5.25,35,,,
Nebraska,R+15,R+15.16,50,,,
Nevada,R+4,R+3.52,30,,,
New Hampshire,EVEN,R+0.01,24,,,
New Jersey,D+3,D+3.41,14,,,
New Mexico,EVEN,R+0.11,25,,,
New York,D+10,D+9.97,4,,,
North Carolina,R+6,R+6.43,37,,,
North Dakota,R+9,R+9.32,45,,,
Ohio,R+1,R+1.43,27,,,
Oklahoma,R+9,R+9.12,44,,,
Oregon,D+1,D+0.76,22,,,
Pennsylvania,D+1,D+0.84,20,,,
Rhode Island,D+13,D+12.8,2,,,
South Carolina,R+8,R+7.91,42,,,
South Dakota,R+6,R+6.43,38,,,
Tennessee,R+3,R+2.8,29,,,
Texas,R+7,R+6.97,39,,,
Utah,R+17,R+16.87,51,,,
Vermont,D+8,D+8.03,5,,,
Virginia,R+6,R+5.85,36,,,
Washington,D+3,D+2.88,17,,,
West Virginia,D+4,D+3.79,13,,,
Wisconsin,D+1,D+0.72,23,,,
Wyoming,R+11,R+10.98,46,,,
