NAME,B09019_011E,B09019_013E,B09019_009E,B09019_010E,state,congressional district,same_sex_couples_est,total_persons_in_couples,total_couples_est,same_sex_couple_rate,sogi_score_raw
"Congressional District 5 (118th Congress), Ohio",784,369,114129,157836,39,05,576.5,273118,136559.0,0.004221618494570112,0.42216184945701124
"Congressional District 6 (118th Congress), Ohio",1101,395,109984,144801,39,06,748.0,256281,128140.5,0.005837342604406882,0.5837342604406882
"Congressional District 7 (118th Congress), Ohio",1114,481,108191,159472,39,07,797.5,269258,134629.0,0.005923686575700629,0.5923686575700629
"Congressional District 8 (118th Congress), Ohio",1185,568,110571,151728,39,08,876.5,264052,132026.0,0.0066388438640873765,0.6638843864087376
"Congressional District 9 (118th Congress), Ohio",1390,1358,120421,145815,39,09,1374.0,268984,134492.0,0.010216221039169616,1.0216221039169617
"Congressional District 10 (118th Congress), Ohio",1710,956,116128,135180,39,10,1333.0,253974,126987.0,0.010497137502264012,1.0497137502264011
"Congressional District 11 (118th Congress), Ohio",1457,1517,116684,91235,39,11,1487.0,210893,105446.5,0.014101937949576326,1.4101937949576326
"Congressional District 12 (118th Congress), Ohio",769,962,107829,159956,39,12,865.5,269516,134758.0,0.0064226242597842055,0.6422624259784205
"Congressional District 13 (118th Congress), Ohio",1299,1310,114962,142818,39,13,1304.5,260389,130194.5,0.010019624484905277,1.0019624484905276
"Congressional District 14 (118th Congress), Ohio",1065,912,112571,151371,39,14,988.5,265919,132959.5,0.0074345947450163395,0.743459474501634
"Congressional District 15 (118th Congress), Ohio",2871,1687,113176,138194,39,15,2279.0,255928,127964.0,0.017809696477134193,1.7809696477134194
"Congressional District 1 (118th Congress), Oklahoma",1205,1983,109355,144687,40,01,1594.0,257230,128615.0,0.012393577731990825,1.2393577731990826
"Congressional District 2 (118th Congress), Oklahoma",1555,490,120189,150165,40,02,1022.5,272399,136199.5,0.007507369704000382,0.7507369704000382
"Congressional District 3 (118th Congress), Oklahoma",1230,1034,108955,133149,40,03,1132.0,244368,122184.0,0.00926471551103254,0.9264715511032541
"Congressional District 4 (118th Congress), Oklahoma",1392,843,114486,148546,40,04,1117.5,265267,132633.5,0.008425473202471473,0.8425473202471473
"Congressional District 5 (118th Congress), Oklahoma",919,1391,111563,153882,40,05,1155.0,267755,133877.5,0.008627289873204982,0.8627289873204982
"Congressional District 1 (118th Congress), Oregon",2856,2617,100721,131001,41,01,2736.5,237195,118597.5,0.023073842197348173,2.3073842197348173
"Congressional District 2 (118th Congress), Oregon",1261,683,108719,137921,41,02,972.0,248584,124292.0,0.007820294146043188,0.7820294146043189
"Congressional District 3 (118th Congress), Oregon",2957,3496,102968,115136,41,03,3226.5,224557,112278.5,0.028736579131356403,2.87365791313564
"Congressional District 4 (118th Congress), Oregon",2701,1653,111435,132075,41,04,2177.0,247864,123932.0,0.017566084627053547,1.7566084627053546
"Congressional District 5 (118th Congress), Oregon",1569,1482,108125,150504,41,05,1525.5,261680,130840.0,0.011659278508101499,1.1659278508101498
"Congressional District 6 (118th Congress), Oregon",2093,882,101829,131965,41,06,1487.5,236769,118384.5,0.012564989504538179,1.256498950453818
"Congressional District 4 (118th Congress), Pennsylvania",1479,715,104244,159943,42,04,1097.0,266381,133190.5,0.00823632316118642,0.8236323161186421
"Congressional District 1 (118th Congress), Pennsylvania",1432,555,103080,169101,42,01,993.5,274168,137084.0,0.00724738116775116,0.724738116775116
"Congressional District 2 (118th Congress), Pennsylvania",865,2495,109813,95357,42,02,1680.0,208530,104265.0,0.016112789526686808,1.6112789526686808
"Congressional District 3 (118th Congress), Pennsylvania",3104,3152,116302,87286,42,03,3128.0,209844,104922.0,0.02981262271020377,2.9812622710203773
"Congressional District 5 (118th Congress), Pennsylvania",2038,1370,102536,124270,42,05,1704.0,230214,115107.0,0.014803617503713935,1.4803617503713935
"Congressional District 6 (118th Congress), Pennsylvania",916,777,103204,156062,42,06,846.5,260959,130479.5,0.006487609164658049,0.6487609164658049
"Congressional District 7 (118th Congress), Pennsylvania",1086,1089,110100,147055,42,07,1087.5,259330,129665.0,0.008386997262175606,0.8386997262175606
"Congressional District 8 (118th Congress), Pennsylvania",1360,1123,103808,131907,42,08,1241.5,238198,119099.0,0.010424100958026516,1.0424100958026516
"Congressional District 9 (118th Congress), Pennsylvania",987,1359,107221,149857,42,09,1173.0,259424,129712.0,0.009043110891821882,0.9043110891821882
"Congressional District 10 (118th Congress), Pennsylvania",1824,1616,108477,147112,42,10,1720.0,259029,129514.5,0.01328036629103305,1.328036629103305
"Congressional District 11 (118th Congress), Pennsylvania",876,1591,100471,159045,42,11,1233.5,261983,130991.5,0.009416641537809705,0.9416641537809705
"Congressional District 12 (118th Congress), Pennsylvania",2213,1647,110549,129094,42,12,1930.0,243503,121751.5,0.015851960756130313,1.5851960756130312
"Congressional District 13 (118th Congress), Pennsylvania",872,515,104087,153140,42,13,693.5,258614,129307.0,0.005363205394912882,0.5363205394912882
"Congressional District 14 (118th Congress), Pennsylvania",1151,874,110451,154093,42,14,1012.5,266569,133284.5,0.0075965322299292115,0.7596532229929212
"Congressional District 15 (118th Congress), Pennsylvania",1417,571,103519,152292,42,15,994.0,257799,128899.5,0.00771143410176145,0.771143410176145
"Congressional District 16 (118th Congress), Pennsylvania",1772,476,107379,147412,42,16,1124.0,257039,128519.5,0.008745754535303981,0.8745754535303981
"Congressional District 17 (118th Congress), Pennsylvania",1653,1519,107357,155819,42,17,1586.0,266348,133174.0,0.011909231531680359,1.1909231531680358
"Congressional District 1 (118th Congress), Rhode Island",2231,1654,78271,85659,44,01,1942.5,167815,83907.5,0.023150493102523612,2.3150493102523613
