district_code,origin_state,pct_share,source_method
AL-02,Louisiana,2.893767218790626,State_Proxy
AL-02,Maine,0.08217867800103734,State_Proxy
AL-02,Maryland,0.5193423011377032,State_Proxy
AL-02,Massachusetts,0.3307354991681093,State_Proxy
AL-02,Michigan,0.8110092484692537,State_Proxy
AL-02,Minnesota,0.21959220515031289,State_Proxy
AL-02,Mississippi,4.222771576954943,State_Proxy
AL-02,Missouri,1.0676492182921655,State_Proxy
AL-02,Montana,0.1394343143132355,State_Proxy
AL-02,Nebraska,0.09969216675535678,State_Proxy
AL-02,Nevada,0.06264440208275797,State_Proxy
AL-02,New Hampshire,0.9706514344220886,State_Proxy
AL-02,New Jersey,0.4250389001529063,State_Proxy
AL-02,New Mexico,0.6789844870905379,State_Proxy
AL-02,New York,1.9615107404837764,State_Proxy
AL-02,North Carolina,2.6054682500656754,State_Proxy
AL-02,North Dakota,0.6810052742544979,State_Proxy
AL-02,Ohio,1.8705753181055793,State_Proxy
AL-02,Oklahoma,0.7234418046976565,State_Proxy
AL-02,Oregon,0.2222865880355928,State_Proxy
AL-02,Pennsylvania,2.3185164727833647,State_Proxy
AL-02,Rhode Island,0.019534275918279366,State_Proxy
AL-02,South Carolina,4.491536269761615,State_Proxy
AL-02,South Dakota,0.2256545666421927,State_Proxy
AL-02,Tennessee,7.801585644327987,State_Proxy
AL-02,Texas,6.941403908202375,State_Proxy
AL-02,Utah,0.38866473120162737,State_Proxy
AL-02,Vermont,0.20005792923203353,State_Proxy
AL-02,Virginia,2.4990401260971193,State_Proxy
AL-02,Washington,2.064570885845733,State_Proxy
AL-02,West Virginia,0.2377792896259523,State_Proxy
AL-02,Wisconsin,0.26674390564271133,State_Proxy
AL-02,Puerto Rico,0.2990765002660703,State_Proxy
AL-03,Alaska,0.42975407020214607,State_Proxy
AL-03,Arizona,0.7914749725509743,State_Proxy
AL-03,Arkansas,1.1680149807688422,State_Proxy
AL-03,California,5.5369568292502205,State_Proxy
AL-03,Colorado,2.099597863354372,State_Proxy
AL-03,Connecticut,0.3900119226442674,State_Proxy
AL-03,Delaware,2.331988387209764,State_Proxy
AL-03,DC,0.21218265221579313,State_Proxy
AL-03,Florida,11.602012704015303,State_Proxy
AL-03,Georgia,16.04505008184188,State_Proxy
AL-03,Hawaii,1.073037984062725,State_Proxy
AL-03,Idaho,0.5617788315808618,State_Proxy
AL-03,Illinois,4.139919303232586,State_Proxy
AL-03,Indiana,1.2602975945896793,State_Proxy
AL-03,Iowa,0.2741534585772311,State_Proxy
AL-03,Kansas,1.3667257185582358,State_Proxy
AL-03,Kentucky,2.375098513374243,State_Proxy
AL-03,Louisiana,2.893767218790626,State_Proxy
AL-03,Maine,0.08217867800103734,State_Proxy
AL-03,Maryland,0.5193423011377032,State_Proxy
AL-03,Massachusetts,0.3307354991681093,State_Proxy
AL-03,Michigan,0.8110092484692537,State_Proxy
AL-03,Minnesota,0.21959220515031289,State_Proxy
AL-03,Mississippi,4.222771576954943,State_Proxy
AL-03,Missouri,1.0676492182921655,State_Proxy
AL-03,Montana,0.1394343143132355,State_Proxy
AL-03,Nebraska,0.09969216675535678,State_Proxy
AL-03,Nevada,0.06264440208275797,State_Proxy
AL-03,New Hampshire,0.9706514344220886,State_Proxy
AL-03,New Jersey,0.4250389001529063,State_Proxy
AL-03,New Mexico,0.6789844870905379,State_Proxy
AL-03,New York,1.9615107404837764,State_Proxy
AL-03,North Carolina,2.6054682500656754,State_Proxy
AL-03,North Dakota,0.6810052742544979,State_Proxy
AL-03,Ohio,1.8705753181055793,State_Proxy
AL-03,Oklahoma,0.7234418046976565,State_Proxy
AL-03,Oregon,0.2222865880355928,State_Proxy
AL-03,Pennsylvania,2.3185164727833647,State_Proxy
AL-03,Rhode Island,0.019534275918279366,State_Proxy
AL-03,South Carolina,4.491536269761615,State_Proxy
AL-03,South Dakota,0.2256545666421927,State_Proxy
AL-03,Tennessee,7.801585644327987,State_Proxy
AL-03,Texas,6.941403908202375,State_Proxy
AL-03,Utah,0.38866473120162737,State_Proxy
AL-03,Vermont,0.20005792923203353,State_Proxy
AL-03,Virginia,2.4990401260971193,State_Proxy
AL-03,Washington,2.064570885845733,State_Proxy
AL-03,West Virginia,0.2377792896259523,State_Proxy
AL-03,Wisconsin,0.26674390564271133,State_Proxy
AL-03,Puerto Rico,0.2990765002660703,State_Proxy
AL-04,Alaska,0.42975407020214607,State_Proxy
AL-04,Arizona,0.7914749725509743,State_Proxy
AL-04,Arkansas,1.1680149807688422,State_Proxy
AL-04,California,5.5369568292502205,State_Proxy
AL-04,Colorado,2.099597863354372,State_Proxy
AL-04,Connecticut,0.3900119226442674,State_Proxy
AL-04,Delaware,2.331988387209764,State_Proxy
AL-04,DC,0.21218265221579313,State_Proxy
AL-04,Florida,11.602012704015303,State_Proxy
AL-04,Georgia,16.04505008184188,State_Proxy
AL-04,Hawaii,1.073037984062725,State_Proxy
AL-04,Idaho,0.5617788315808618,State_Proxy
AL-04,Illinois,4.139919303232586,State_Proxy
AL-04,Indiana,1.2602975945896793,State_Proxy
AL-04,Iowa,0.2741534585772311,State_Proxy
AL-04,Kansas,1.3667257185582358,State_Proxy
AL-04,Kentucky,2.375098513374243,State_Proxy
AL-04,Louisiana,2.893767218790626,State_Proxy
AL-04,Maine,0.08217867800103734,State_Proxy
AL-04,Maryland,0.5193423011377032,State_Proxy
AL-04,Massachusetts,0.3307354991681093,State_Proxy
AL-04,Michigan,0.8110092484692537,State_Proxy
AL-04,Minnesota,0.21959220515031289,State_Proxy
AL-04,Mississippi,4.222771576954943,State_Proxy
AL-04,Missouri,1.0676492182921655,State_Proxy
AL-04,Montana,0.1394343143132355,State_Proxy
AL-04,Nebraska,0.09969216675535678,State_Proxy
AL-04,Nevada,0.06264440208275797,State_Proxy
AL-04,New Hampshire,0.9706514344220886,State_Proxy
AL-04,New Jersey,0.4250389001529063,State_Proxy
AL-04,New Mexico,0.6789844870905379,State_Proxy
AL-04,New York,1.9615107404837764,State_Proxy
