year,state_po,state,state_fips,district,district_code,totalvotes,total_candidatevotes
2022,AL,ALABAMA,1,3,AL-03,190406,190406
2024,AL,ALABAMA,1,3,AL-03,249008,249008
1976,AL,ALABAMA,1,4,AL-04,176022,176022
1978,AL,ALABAMA,1,4,AL-04,87381,87381
1980,AL,ALABAMA,1,4,AL-04,132086,132086
1982,AL,ALABAMA,1,4,AL-04,118607,118607
1984,AL,ALABAMA,1,4,AL-04,120106,120106
1986,AL,ALABAMA,1,4,AL-04,171469,171469
1988,AL,ALABAMA,1,4,AL-04,137149,137149
1990,AL,ALABAMA,1,4,AL-04,130212,130212
1992,AL,ALABAMA,1,4,AL-04,230523,230523
1994,AL,ALABAMA,1,4,AL-04,121262,121262
1996,AL,ALABAMA,1,4,AL-04,205917,205917
1998,AL,ALABAMA,1,4,AL-04,188476,188476
2000,AL,ALABAMA,1,4,AL-04,231106,231106
2002,AL,ALABAMA,1,4,AL-04,161101,161101
2004,AL,ALABAMA,1,4,AL-04,255724,255724
2006,AL,ALABAMA,1,4,AL-04,183072,183072
2008,AL,ALABAMA,1,4,AL-04,263167,263167
2010,AL,ALABAMA,1,4,AL-04,169721,169721
2012,AL,ALABAMA,1,4,AL-04,269118,269118
2014,AL,ALABAMA,1,4,AL-04,134752,134752
2016,AL,ALABAMA,1,4,AL-04,239444,239444
2018,AL,ALABAMA,1,4,AL-04,230969,230969
2020,AL,ALABAMA,1,4,AL-04,318029,318029
2022,AL,ALABAMA,1,4,AL-04,195733,195733
2024,AL,ALABAMA,1,4,AL-04,277872,277872
1976,AL,ALABAMA,1,5,AL-05,113560,113560
1978,AL,ALABAMA,1,5,AL-05,71236,71236
1980,AL,ALABAMA,1,5,AL-05,125356,125356
1982,AL,ALABAMA,1,5,AL-05,134880,134880
1984,AL,ALABAMA,1,5,AL-05,146575,146575
1986,AL,ALABAMA,1,5,AL-05,158934,158934
1988,AL,ALABAMA,1,5,AL-05,186623,186623
1990,AL,ALABAMA,1,5,AL-05,168383,168383
1992,AL,ALABAMA,1,5,AL-05,244133,244133
1994,AL,ALABAMA,1,5,AL-05,175693,175693
1996,AL,ALABAMA,1,5,AL-05,205547,205547
1998,AL,ALABAMA,1,5,AL-05,193490,193490
2000,AL,ALABAMA,1,5,AL-05,209514,209514
2002,AL,ALABAMA,1,5,AL-05,195171,195171
2004,AL,ALABAMA,1,5,AL-05,275459,275459
2006,AL,ALABAMA,1,5,AL-05,145555,145555
2008,AL,ALABAMA,1,5,AL-05,307282,307282
2010,AL,ALABAMA,1,5,AL-05,226490,226490
2012,AL,ALABAMA,1,5,AL-05,291293,291293
2014,AL,ALABAMA,1,5,AL-05,154974,154974
2016,AL,ALABAMA,1,5,AL-05,308326,308326
2018,AL,ALABAMA,1,5,AL-05,260673,260673
2020,AL,ALABAMA,1,5,AL-05,264160,264160
2022,AL,ALABAMA,1,5,AL-05,212317,212317
2024,AL,ALABAMA,1,5,AL-05,262410,262410
1976,AL,ALABAMA,1,6,AL-06,162518,162518
1978,AL,ALABAMA,1,6,AL-06,106471,106471
1980,AL,ALABAMA,1,6,AL-06,187982,187982
1982,AL,ALABAMA,1,6,AL-06,165387,165387
1984,AL,ALABAMA,1,6,AL-06,219710,219710
1986,AL,ALABAMA,1,6,AL-06,191976,191976
1988,AL,ALABAMA,1,6,AL-06,209026,209026
1990,AL,ALABAMA,1,6,AL-06,144797,144797
1992,AL,ALABAMA,1,6,AL-06,280139,280139
1994,AL,ALABAMA,1,6,AL-06,196222,196222
1996,AL,ALABAMA,1,6,AL-06,254859,254859
1998,AL,ALABAMA,1,6,AL-06,215582,215582
2000,AL,ALABAMA,1,6,AL-06,241917,241917
2002,AL,ALABAMA,1,6,AL-06,198346,198346
2004,AL,ALABAMA,1,6,AL-06,268043,268043
2006,AL,ALABAMA,1,6,AL-06,166300,166300
2008,AL,ALABAMA,1,6,AL-06,287237,287237
2010,AL,ALABAMA,1,6,AL-06,209364,209364
2012,AL,ALABAMA,1,6,AL-06,308102,308102
2014,AL,ALABAMA,1,6,AL-06,178449,178449
2016,AL,ALABAMA,1,6,AL-06,329306,329306
2018,AL,ALABAMA,1,6,AL-06,278328,278328
2020,AL,ALABAMA,1,6,AL-06,282261,282261
2022,AL,ALABAMA,1,6,AL-06,184203,184203
2024,AL,ALABAMA,1,6,AL-06,346625,346625
1976,AL,ALABAMA,1,7,AL-07,110501,110501
1978,AL,ALABAMA,1,7,AL-07,82868,82868
1980,AL,ALABAMA,1,7,AL-07,168804,168804
1982,AL,ALABAMA,1,7,AL-07,128139,128139
1984,AL,ALABAMA,1,7,AL-07,140332,140332
1986,AL,ALABAMA,1,7,AL-07,180903,180903
1988,AL,ALABAMA,1,7,AL-07,200966,200966
1990,AL,ALABAMA,1,7,AL-07,180794,180794
1992,AL,ALABAMA,1,7,AL-07,207773,207773
1994,AL,ALABAMA,1,7,AL-07,151117,151117
1996,AL,ALABAMA,1,7,AL-07,192113,192113
1998,AL,ALABAMA,1,7,AL-07,139181,139181
2000,AL,ALABAMA,1,7,AL-07,198633,198633
2002,AL,ALABAMA,1,7,AL-07,166309,166309
2004,AL,ALABAMA,1,7,AL-07,244638,244638
2006,AL,ALABAMA,1,7,AL-07,135164,135164
2008,AL,ALABAMA,1,7,AL-07,231701,231701
2010,AL,ALABAMA,1,7,AL-07,188724,188724
2012,AL,ALABAMA,1,7,AL-07,306558,306558
2014,AL,ALABAMA,1,7,AL-07,135899,135899
2016,AL,ALABAMA,1,7,AL-07,233028,233028
2018,AL,ALABAMA,1,7,AL-07,189163,189163
2020,AL,ALABAMA,1,7,AL-07,232331,232331
2022,AL,ALABAMA,1,7,AL-07,193940,193940
2024,AL,ALABAMA,1,7,AL-07,293220,293220
1976,AR,ARKANSAS,5,1,AR-01,168782,168782
1978,AR,ARKANSAS,5,1,AR-01,1,1
1980,AR,ARKANSAS,5,1,AR-01,1,1
1982,AR,ARKANSAS,5,1,AR-01,191635,191635
1984,AR,ARKANSAS,5,1,AR-01,124528,124528
1986,AR,ARKANSAS,5,1,AR-01,164719,164719
1988,AR,ARKANSAS,5,1,AR-01,1,1
1990,AR,ARKANSAS,5,1,AR-01,157097,157097
1992,AR,ARKANSAS,5,1,AR-01,214176,214176
1994,AR,ARKANSAS,5,1,AR-01,178437,178437
1996,AR,ARKANSAS,5,1,AR-01,199450,199450
1998,AR,ARKANSAS,5,1,AR-01,1,1
2000,AR,ARKANSAS,5,1,AR-01,199956,199956
2002,AR,ARKANSAS,5,1,AR-01,194058,194058
2004,AR,ARKANSAS,5,1,AR-01,243944,243944
2006,AR,ARKANSAS,5,1,AR-01,184188,184188
2008,AR,ARKANSAS,5,1,AR-01,1,1
2010,AR,ARKANSAS,5,1,AR-01,180016,180016
2012,AR,ARKANSAS,5,1,AR-01,246843,246843
2014,AR,ARKANSAS,5,1,AR-01,196256,196256
2016,AR,ARKANSAS,5,1,AR-01,241047,241047
2018,AR,ARKANSAS,5,1,AR-01,201245,201245
2020,AR,ARKANSAS,5,1,AR-01,237596,237596
2022,AR,ARKANSAS,5,1,AR-01,208372,208372
2024,AR,ARKANSAS,5,1,AR-01,267177,267177
1976,AR,ARKANSAS,5,2,AR-02,167607,167607
1978,AR,ARKANSAS,5,2,AR-02,127425,127425
1980,AR,ARKANSAS,5,2,AR-02,201655,201655
1982,AR,ARKANSAS,5,2,AR-02,179688,179688
1984,AR,ARKANSAS,5,2,AR-02,219079,219079
1986,AR,ARKANSAS,5,2,AR-02,170146,170146
1988,AR,ARKANSAS,5,2,AR-02,202364,202364
1990,AR,ARKANSAS,5,2,AR-02,171271,171271
1992,AR,ARKANSAS,5,2,AR-02,208924,208924
1994,AR,ARKANSAS,5,2,AR-02,170053,170053
1996,AR,ARKANSAS,5,2,AR-02,219389,219389
1998,AR,ARKANSAS,5,2,AR-02,173071,173071
2000,AR,ARKANSAS,5,2,AR-02,220649,220649
2002,AR,ARKANSAS,5,2,AR-02,153626,153626
2004,AR,ARKANSAS,5,2,AR-02,276493,276493
2006,AR,ARKANSAS,5,2,AR-02,206303,206303
2008,AR,ARKANSAS,5,2,AR-02,277366,277366
2010,AR,ARKANSAS,5,2,AR-02,210852,210852
2012,AR,ARKANSAS,5,2,AR-02,286598,286598
2014,AR,ARKANSAS,5,2,AR-02,237330,237330
2016,AR,ARKANSAS,5,2,AR-02,302464,302464
2018,AR,ARKANSAS,5,2,AR-02,253453,253453
2020,AR,ARKANSAS,5,2,AR-02,332503,332503
2022,AR,ARKANSAS,5,2,AR-02,246446,246446
2024,AR,ARKANSAS,5,2,AR-02,306286,306286
1976,AR,ARKANSAS,5,3,AR-03,1,1
1978,AR,ARKANSAS,5,3,AR-03,165834,165834
1980,AR,ARKANSAS,5,3,AR-03,1,1
