year,state_po,state,state_fips,district,district_code,totalvotes,total_candidatevotes
1986,GA,GEORGIA,13,8,GA-08,95206,95206
1988,GA,GEORGIA,13,8,GA-08,102696,102696
1990,GA,GEORGIA,13,8,GA-08,118324,118324
1992,GA,GEORGIA,13,8,GA-08,194692,194692
1994,GA,GEORGIA,13,8,GA-08,142999,142999
1996,GA,GEORGIA,13,8,GA-08,178125,178125
1998,GA,GEORGIA,13,8,GA-08,141072,141072
2000,GA,GEORGIA,13,8,GA-08,192431,192431
2002,GA,GEORGIA,13,8,GA-08,181927,181927
2004,GA,GEORGIA,13,8,GA-08,301156,301156
2006,GA,GEORGIA,13,8,GA-08,159568,159568
2008,GA,GEORGIA,13,8,GA-08,274687,274687
2010,GA,GEORGIA,13,8,GA-08,195020,195020
2012,GA,GEORGIA,13,8,GA-08,197789,197789
2014,GA,GEORGIA,13,8,GA-08,130057,130057
2016,GA,GEORGIA,13,8,GA-08,257208,257208
2018,GA,GEORGIA,13,8,GA-08,198716,198716
2020,GA,GEORGIA,13,8,GA-08,308013,308013
2022,GA,GEORGIA,13,8,GA-08,260586,260586
2024,GA,GEORGIA,13,8,GA-08,335981,335981
1976,GA,GEORGIA,13,9,GA-09,143357,143357
1978,GA,GEORGIA,13,9,GA-09,61437,61437
1980,GA,GEORGIA,13,9,GA-09,169918,169918
1982,GA,GEORGIA,13,9,GA-09,112422,112422
1984,GA,GEORGIA,13,9,GA-09,162165,162165
1986,GA,GEORGIA,13,9,GA-09,84320,84320
1988,GA,GEORGIA,13,9,GA-09,193705,193705
1990,GA,GEORGIA,13,9,GA-09,172318,172318
1992,GA,GEORGIA,13,9,GA-09,190943,190943
1994,GA,GEORGIA,13,9,GA-09,136713,136713
1996,GA,GEORGIA,13,9,GA-09,202194,202194
1998,GA,GEORGIA,13,9,GA-09,122713,122713
2000,GA,GEORGIA,13,9,GA-09,243531,243531
2002,GA,GEORGIA,13,9,GA-09,169287,169287
2004,GA,GEORGIA,13,9,GA-09,266331,266331
2006,GA,GEORGIA,13,9,GA-09,167925,167925
2008,GA,GEORGIA,13,9,GA-09,288030,288030
2010,GA,GEORGIA,13,9,GA-09,173512,173512
2012,GA,GEORGIA,13,9,GA-09,252153,252153
2014,GA,GEORGIA,13,9,GA-09,181047,181047
2016,GA,GEORGIA,13,9,GA-09,256535,256535
2018,GA,GEORGIA,13,9,GA-09,282578,282578
2020,GA,GEORGIA,13,9,GA-09,372547,372547
2022,GA,GEORGIA,13,9,GA-09,294138,294138
2024,GA,GEORGIA,13,9,GA-09,392816,392816
1976,GA,GEORGIA,13,10,GA-10,94864,94864
1978,GA,GEORGIA,13,10,GA-10,50130,50130
1980,GA,GEORGIA,13,10,GA-10,127378,127378
1982,GA,GEORGIA,13,10,GA-10,80323,80323
1984,GA,GEORGIA,13,10,GA-10,116374,116374
1986,GA,GEORGIA,13,10,GA-10,118267,118267
1988,GA,GEORGIA,13,10,GA-10,184677,184677
1990,GA,GEORGIA,13,10,GA-10,153867,153867
1992,GA,GEORGIA,13,10,GA-10,201485,201485
1994,GA,GEORGIA,13,10,GA-10,147291,147291
1996,GA,GEORGIA,13,10,GA-10,184777,184777
1998,GA,GEORGIA,13,10,GA-10,148531,148531
2000,GA,GEORGIA,13,10,GA-10,193899,193899
2002,GA,GEORGIA,13,10,GA-10,129242,129242
2004,GA,GEORGIA,13,10,GA-10,219136,219136
2006,GA,GEORGIA,13,10,GA-10,174753,174753
2008,GA,GEORGIA,13,10,GA-10,291903,291903
2010,GA,GEORGIA,13,10,GA-10,204967,204967
2012,GA,GEORGIA,13,10,GA-10,211065,211065
2014,GA,GEORGIA,13,10,GA-10,196480,196480
2016,GA,GEORGIA,13,10,GA-10,244821,244821
2018,GA,GEORGIA,13,10,GA-10,302735,302735
2020,GA,GEORGIA,13,10,GA-10,378446,378446
2022,GA,GEORGIA,13,10,GA-10,307630,307630
2024,GA,GEORGIA,13,10,GA-10,406716,406716
1992,GA,GEORGIA,13,11,GA-11,164400,164400
1994,GA,GEORGIA,13,11,GA-11,109093,109093
1996,GA,GEORGIA,13,11,GA-11,226761,226761
1998,GA,GEORGIA,13,11,GA-11,174419,174419
2000,GA,GEORGIA,13,11,GA-11,199652,199652
2002,GA,GEORGIA,13,11,GA-11,134434,134434
2004,GA,GEORGIA,13,11,GA-11,210287,210287
2006,GA,GEORGIA,13,11,GA-11,166785,166785
2008,GA,GEORGIA,13,11,GA-11,299302,299302
2010,GA,GEORGIA,13,11,GA-11,163515,163515
2012,GA,GEORGIA,13,11,GA-11,287321,287321
2014,GA,GEORGIA,13,11,GA-11,161532,161532
2016,GA,GEORGIA,13,11,GA-11,323318,323318
2018,GA,GEORGIA,13,11,GA-11,310540,310540
2020,GA,GEORGIA,13,11,GA-11,405882,405882
2022,GA,GEORGIA,13,11,GA-11,303657,303657
2024,GA,GEORGIA,13,11,GA-11,400913,400913
2002,GA,GEORGIA,13,12,GA-12,140383,140383
2004,GA,GEORGIA,13,12,GA-12,218168,218168
2006,GA,GEORGIA,13,12,GA-12,142438,142438
2008,GA,GEORGIA,13,12,GA-12,249335,249335
2010,GA,GEORGIA,13,12,GA-12,163397,163397
2012,GA,GEORGIA,13,12,GA-12,259121,259121
2014,GA,GEORGIA,13,12,GA-12,166814,166814
2016,GA,GEORGIA,13,12,GA-12,258912,258912
2018,GA,GEORGIA,13,12,GA-12,250492,250492
2020,GA,GEORGIA,13,12,GA-12,310099,310099
2022,GA,GEORGIA,13,12,GA-12,265195,265195
2024,GA,GEORGIA,13,12,GA-12,341266,341266
2002,GA,GEORGIA,13,13,GA-13,117416,117416
2004,GA,GEORGIA,13,13,GA-13,170657,170657
2006,GA,GEORGIA,13,13,GA-13,148789,148789
2008,GA,GEORGIA,13,13,GA-13,298239,298239
2010,GA,GEORGIA,13,13,GA-13,202065,202065
2012,GA,GEORGIA,13,13,GA-13,281538,281538
2014,GA,GEORGIA,13,13,GA-13,159445,159445
2016,GA,GEORGIA,13,13,GA-13,252833,252833
2018,GA,GEORGIA,13,13,GA-13,293010,293010
2020,GA,GEORGIA,13,13,GA-13,360582,360582
2022,GA,GEORGIA,13,13,GA-13,264616,264616
2024,GA,GEORGIA,13,13,GA-13,357632,357632
2012,GA,GEORGIA,13,14,GA-14,219192,219192
2014,GA,GEORGIA,13,14,GA-14,118782,118782
2016,GA,GEORGIA,13,14,GA-14,216743,216743
2018,GA,GEORGIA,13,14,GA-14,229724,229724
2020,GA,GEORGIA,13,14,GA-14,307625,307625
2022,GA,GEORGIA,13,14,GA-14,258351,258351
2024,GA,GEORGIA,13,14,GA-14,378205,378205
1976,HI,HAWAII,15,1,HI-01,137602,137602
1978,HI,HAWAII,15,1,HI-01,115412,115412
1980,HI,HAWAII,15,1,HI-01,123181,123181
1982,HI,HAWAII,15,1,HI-01,149907,149907
1984,HI,HAWAII,15,1,HI-01,138865,138865
1986,HI,HAWAII,15,1,HI-01,168377,168377
1988,HI,HAWAII,15,1,HI-01,177020,177020
1990,HI,HAWAII,15,1,HI-01,162711,162711
1992,HI,HAWAII,15,1,HI-01,177476,177476
1994,HI,HAWAII,15,1,HI-01,176706,176706
1996,HI,HAWAII,15,1,HI-01,172206,172206
1998,HI,HAWAII,15,1,HI-01,189571,189571
2000,HI,HAWAII,15,1,HI-01,157194,157194
2002,HI,HAWAII,15,1,HI-01,180733,180733
2004,HI,HAWAII,15,1,HI-01,204181,204181
2006,HI,HAWAII,15,1,HI-01,162794,162794
2008,HI,HAWAII,15,1,HI-01,218434,218434
2010,HI,HAWAII,15,1,HI-01,176863,176863
2012,HI,HAWAII,15,1,HI-01,217876,217876
2014,HI,HAWAII,15,1,HI-01,182268,182268
2016,HI,HAWAII,15,1,HI-01,213531,213531
2018,HI,HAWAII,15,1,HI-01,184211,184211
2020,HI,HAWAII,15,1,HI-01,283408,283408
2022,HI,HAWAII,15,1,HI-01,202378,202378
2024,HI,HAWAII,15,1,HI-01,251432,251432
1976,HI,HAWAII,15,2,HI-02,156099,156099
1978,HI,HAWAII,15,2,HI-02,137957,137957
1980,HI,HAWAII,15,2,HI-02,157380,157380
1982,HI,HAWAII,15,2,HI-02,148008,148008
1984,HI,HAWAII,15,2,HI-02,136741,136741
1986,HI,HAWAII,15,2,HI-02,162819,162819
1988,HI,HAWAII,15,2,HI-02,162808,162808
1990,HI,HAWAII,15,2,HI-02,178288,178288
1992,HI,HAWAII,15,2,HI-02,180955,180955
1994,HI,HAWAII,15,2,HI-02,177396,177396
1996,HI,HAWAII,15,2,HI-02,180963,180963
1998,HI,HAWAII,15,2,HI-02,207871,207871
2000,HI,HAWAII,15,2,HI-02,183230,183230
2002,HI,HAWAII,15,2,HI-02,179251,179251
2004,HI,HAWAII,15,2,HI-02,212389,212389
2006,HI,HAWAII,15,2,HI-02,175150,175150
2008,HI,HAWAII,15,2,HI-02,237630,237630
2010,HI,HAWAII,15,2,HI-02,183258,183258
2012,HI,HAWAII,15,2,HI-02,219283,219283
2014,HI,HAWAII,15,2,HI-02,187435,187435
2016,HI,HAWAII,15,2,HI-02,224133,224133
2018,HI,HAWAII,15,2,HI-02,198121,198121
2020,HI,HAWAII,15,2,HI-02,296376,296376
2022,HI,HAWAII,15,2,HI-02,216985,216985
2024,HI,HAWAII,15,2,HI-02,270804,270804
1976,IA,IOWA,19,1,IA-01,211204,211204
1978,IA,IOWA,19,1,IA-01,125955,125955
1980,IA,IOWA,19,1,IA-01,208111,208111
1982,IA,IOWA,19,1,IA-01,151342,151342
1984,IA,IOWA,19,1,IA-01,196475,196475
1986,IA,IOWA,19,1,IA-01,130825,130825
1988,IA,IOWA,19,1,IA-01,185716,185716
1990,IA,IOWA,19,1,IA-01,90193,90193
1992,IA,IOWA,19,1,IA-01,261309,261309
1994,IA,IOWA,19,1,IA-01,183461,183461
1996,IA,IOWA,19,1,IA-01,244596,244596
1998,IA,IOWA,19,1,IA-01,188208,188208
2000,IA,IOWA,19,1,IA-01,266990,266990
2002,IA,IOWA,19,1,IA-01,196455,196455
2004,IA,IOWA,19,1,IA-01,290054,290054
2006,IA,IOWA,19,1,IA-01,207478,207478
2008,IA,IOWA,19,1,IA-01,289430,289430
2010,IA,IOWA,19,1,IA-01,210902,210902
2012,IA,IOWA,19,1,IA-01,390849,390849
2014,IA,IOWA,19,1,IA-01,289306,289306
2016,IA,IOWA,19,1,IA-01,384977,384977
2018,IA,IOWA,19,1,IA-01,334243,334243
2020,IA,IOWA,19,1,IA-01,423971,423971
2022,IA,IOWA,19,1,IA-01,309736,309736
2024,IA,IOWA,19,1,IA-01,414078,414078
1976,IA,IOWA,19,2,IA-02,204550,204550
1978,IA,IOWA,19,2,IA-02,138978,138978
1980,IA,IOWA,19,2,IA-02,206634,206634
1982,IA,IOWA,19,2,IA-02,169037,169037
1984,IA,IOWA,19,2,IA-02,214228,214228
1986,IA,IOWA,19,2,IA-02,144630,144630
1988,IA,IOWA,19,2,IA-02,200041,200041
1990,IA,IOWA,19,2,IA-02,166106,166106
1992,IA,IOWA,19,2,IA-02,267892,267892
1994,IA,IOWA,19,2,IA-02,198487,198487
1996,IA,IOWA,19,2,IA-02,239299,239299
1998,IA,IOWA,19,2,IA-02,189574,189574
2000,IA,IOWA,19,2,IA-02,252567,252567
2002,IA,IOWA,19,2,IA-02,207171,207171
2004,IA,IOWA,19,2,IA-02,299881,299881
2006,IA,IOWA,19,2,IA-02,209390,209390
2008,IA,IOWA,19,2,IA-02,306097,306097
2010,IA,IOWA,19,2,IA-02,227175,227175
2012,IA,IOWA,19,2,IA-02,381275,381275
2014,IA,IOWA,19,2,IA-02,273329,273329
2016,IA,IOWA,19,2,IA-02,370032,370032
2018,IA,IOWA,19,2,IA-02,312913,312913
2020,IA,IOWA,19,2,IA-02,413989,413989
2022,IA,IOWA,19,2,IA-02,321507,321507
2024,IA,IOWA,19,2,IA-02,408802,408802
1976,IA,IOWA,19,3,IA-03,208938,208938
1978,IA,IOWA,19,3,IA-03,138539,138539
1980,IA,IOWA,19,3,IA-03,209945,209945
1982,IA,IOWA,19,3,IA-03,187675,187675
1984,IA,IOWA,19,3,IA-03,220311,220311
1986,IA,IOWA,19,3,IA-03,152920,152920
1988,IA,IOWA,19,3,IA-03,203932,203932
1990,IA,IOWA,19,3,IA-03,101780,101780
1992,IA,IOWA,19,3,IA-03,257276,257276
1994,IA,IOWA,19,3,IA-03,193531,193531
1996,IA,IOWA,19,3,IA-03,234875,234875
1998,IA,IOWA,19,3,IA-03,189752,189752
2000,IA,IOWA,19,3,IA-03,248926,248926
2002,IA,IOWA,19,3,IA-03,215985,215985
2004,IA,IOWA,19,3,IA-03,304319,304319
2006,IA,IOWA,19,3,IA-03,223082,223082
2008,IA,IOWA,19,3,IA-03,313639,313639
2010,IA,IOWA,19,3,IA-03,240756,240756
2012,IA,IOWA,19,3,IA-03,386842,386842
2014,IA,IOWA,19,3,IA-03,282066,282066
2016,IA,IOWA,19,3,IA-03,390287,390287
2018,IA,IOWA,19,3,IA-03,356241,356241
2020,IA,IOWA,19,3,IA-03,460813,460813
2022,IA,IOWA,19,3,IA-03,315039,315039
2024,IA,IOWA,19,3,IA-03,412905,412905
1976,IA,IOWA,19,4,IA-04,210356,210356
1978,IA,IOWA,19,4,IA-04,136834,136834
1980,IA,IOWA,19,4,IA-04,218620,218620
1982,IA,IOWA,19,4,IA-04,179972,179972
1984,IA,IOWA,19,4,IA-04,225639,225639
1986,IA,IOWA,19,4,IA-04,156952,156952
1988,IA,IOWA,19,4,IA-04,219223,219223
1990,IA,IOWA,19,4,IA-04,130590,130590
1992,IA,IOWA,19,4,IA-04,257593,257593
1994,IA,IOWA,19,4,IA-04,213206,213206
1996,IA,IOWA,19,4,IA-04,256509,256509
1998,IA,IOWA,19,4,IA-04,199396,199396
2000,IA,IOWA,19,4,IA-04,275645,275645
2002,IA,IOWA,19,4,IA-04,210774,210774
2004,IA,IOWA,19,4,IA-04,297566,297566
2006,IA,IOWA,19,4,IA-04,212632,212632
2008,IA,IOWA,19,4,IA-04,306204,306204
2010,IA,IOWA,19,4,IA-04,232519,232519
2012,IA,IOWA,19,4,IA-04,377883,377883
2014,IA,IOWA,19,4,IA-04,275633,275633
2016,IA,IOWA,19,4,IA-04,370259,370259
2018,IA,IOWA,19,4,IA-04,313251,313251
2020,IA,IOWA,19,4,IA-04,401495,401495
2022,IA,IOWA,19,4,IA-04,284134,284134
2024,IA,IOWA,19,4,IA-04,373824,373824
1976,IA,IOWA,19,5,IA-05,209052,209052
1978,IA,IOWA,19,5,IA-05,139710,139710
1980,IA,IOWA,19,5,IA-05,212367,212367
1982,IA,IOWA,19,5,IA-05,158563,158563
1984,IA,IOWA,19,5,IA-05,206067,206067
1986,IA,IOWA,19,5,IA-05,143589,143589
1988,IA,IOWA,19,5,IA-05,184368,184368
1990,IA,IOWA,19,5,IA-05,147012,147012
1992,IA,IOWA,19,5,IA-05,198366,198366
1994,IA,IOWA,19,5,IA-05,188721,188721
1996,IA,IOWA,19,5,IA-05,225479,225479
1998,IA,IOWA,19,5,IA-05,133771,133771
2000,IA,IOWA,19,5,IA-05,231806,231806
2002,IA,IOWA,19,5,IA-05,182237,182237
2004,IA,IOWA,19,5,IA-05,266341,266341
2006,IA,IOWA,19,5,IA-05,180399,180399
2008,IA,IOWA,19,5,IA-05,266437,266437
2010,IA,IOWA,19,5,IA-05,195239,195239
1976,IA,IOWA,19,6,IA-06,198002,198002
1978,IA,IOWA,19,6,IA-06,131459,131459
1980,IA,IOWA,19,6,IA-06,201326,201326
1982,IA,IOWA,19,6,IA-06,158184,158184
1984,IA,IOWA,19,6,IA-06,205888,205888
1986,IA,IOWA,19,6,IA-06,160679,160679
1988,IA,IOWA,19,6,IA-06,195478,195478
1990,IA,IOWA,19,6,IA-06,156459,156459
1976,ID,IDAHO,16,1,ID-01,175495,175495
1978,ID,IDAHO,16,1,ID-01,144652,144652
1980,ID,IDAHO,16,1,ID-01,217542,217542
1982,ID,IDAHO,16,1,ID-01,160665,160665
1984,ID,IDAHO,16,1,ID-01,202676,202676
1986,ID,IDAHO,16,1,ID-01,185124,185124
1988,ID,IDAHO,16,1,ID-01,205549,205549
1990,ID,IDAHO,16,1,ID-01,160460,160460
1992,ID,IDAHO,16,1,ID-01,242890,242890
1994,ID,IDAHO,16,1,ID-01,201554,201554
1996,ID,IDAHO,16,1,ID-01,264778,264778
1998,ID,IDAHO,16,1,ID-01,204884,204884
2000,ID,IDAHO,16,1,ID-01,268116,268116
2002,ID,IDAHO,16,1,ID-01,206141,206141
2004,ID,IDAHO,16,1,ID-01,298589,298589
2006,ID,IDAHO,16,1,ID-01,231974,231974
2008,ID,IDAHO,16,1,ID-01,347585,347585
2010,ID,IDAHO,16,1,ID-01,247427,247427
2012,ID,IDAHO,16,1,ID-01,316724,316724
2014,ID,IDAHO,16,1,ID-01,220864,220864
2016,ID,IDAHO,16,1,ID-01,355357,355357
2018,ID,IDAHO,16,1,ID-01,315069,315069
2020,ID,IDAHO,16,1,ID-01,458576,458576
2022,ID,IDAHO,16,1,ID-01,312442,312442
2024,ID,IDAHO,16,1,ID-01,489086,489086
1976,ID,IDAHO,16,2,ID-02,166412,166412
1978,ID,IDAHO,16,2,ID-02,140631,140631
1980,ID,IDAHO,16,2,ID-02,197560,197560
1982,ID,IDAHO,16,2,ID-02,160481,160481
1984,ID,IDAHO,16,2,ID-02,202399,202399
1986,ID,IDAHO,16,2,ID-02,189563,189563
1988,ID,IDAHO,16,2,ID-02,201885,201885
1990,ID,IDAHO,16,2,ID-02,154052,154052
1992,ID,IDAHO,16,2,ID-02,229957,229957
1994,ID,IDAHO,16,2,ID-02,191529,191529
1996,ID,IDAHO,16,2,ID-02,229248,229248
1998,ID,IDAHO,16,2,ID-02,173945,173945
2000,ID,IDAHO,16,2,ID-02,224719,224719
2002,ID,IDAHO,16,2,ID-02,198882,198882
2004,ID,IDAHO,16,2,ID-02,273837,273837
2006,ID,IDAHO,16,2,ID-02,213332,213332
2008,ID,IDAHO,16,2,ID-02,290267,290267
2010,ID,IDAHO,16,2,ID-02,199717,199717
2012,ID,IDAHO,16,2,ID-02,318494,318494
2014,ID,IDAHO,16,2,ID-02,214293,214293
2016,ID,IDAHO,16,2,ID-02,326237,326237
2018,ID,IDAHO,16,2,ID-02,280655,280655
2020,ID,IDAHO,16,2,ID-02,391333,391333
2022,ID,IDAHO,16,2,ID-02,271186,271186
2024,ID,IDAHO,16,2,ID-02,428514,428514
1976,IL,ILLINOIS,17,1,IL-01,137193,137193
1978,IL,ILLINOIS,17,1,IL-01,81279,81279
1980,IL,ILLINOIS,17,1,IL-01,125223,125223
1982,IL,ILLINOIS,17,1,IL-01,177462,177462
1984,IL,ILLINOIS,17,1,IL-01,185534,185534
1986,IL,ILLINOIS,17,1,IL-01,126948,126948
1988,IL,ILLINOIS,17,1,IL-01,170878,170878
1990,IL,ILLINOIS,17,1,IL-01,107598,107598
1992,IL,ILLINOIS,17,1,IL-01,252711,252711
1994,IL,ILLINOIS,17,1,IL-01,148512,148512
1996,IL,ILLINOIS,17,1,IL-01,203113,203113
1998,IL,ILLINOIS,17,1,IL-01,174365,174365
2000,IL,ILLINOIS,17,1,IL-01,196186,196186
2002,IL,ILLINOIS,17,1,IL-01,183656,183656
2004,IL,ILLINOIS,17,1,IL-01,249949,249949
2006,IL,ILLINOIS,17,1,IL-01,174427,174427
2008,IL,ILLINOIS,17,1,IL-01,271397,271397
2010,IL,ILLINOIS,17,1,IL-01,184386,184386
2012,IL,ILLINOIS,17,1,IL-01,320844,320844
2014,IL,ILLINOIS,17,1,IL-01,222017,222017
2016,IL,ILLINOIS,17,1,IL-01,315862,315862
2018,IL,ILLINOIS,17,1,IL-01,257885,257885
2020,IL,ILLINOIS,17,1,IL-01,325123,325123
2022,IL,ILLINOIS,17,1,IL-01,237425,237425
2024,IL,ILLINOIS,17,1,IL-01,316507,316507
1976,IL,ILLINOIS,17,2,IL-02,150335,150335
1978,IL,ILLINOIS,17,2,IL-02,94077,94077
1980,IL,ILLINOIS,17,2,IL-02,147302,147302
1982,IL,ILLINOIS,17,2,IL-02,161794,161794
1984,IL,ILLINOIS,17,2,IL-02,187215,187215
1986,IL,ILLINOIS,17,2,IL-02,118417,118417
1988,IL,ILLINOIS,17,2,IL-02,167087,167087
1990,IL,ILLINOIS,17,2,IL-02,102595,102595
1992,IL,ILLINOIS,17,2,IL-02,233864,233864
1994,IL,ILLINOIS,17,2,IL-02,95855,95855
1996,IL,ILLINOIS,17,2,IL-02,183543,183543
1998,IL,ILLINOIS,17,2,IL-02,166668,166668
2000,IL,ILLINOIS,17,2,IL-02,195901,195901
2002,IL,ILLINOIS,17,2,IL-02,184010,184010
2004,IL,ILLINOIS,17,2,IL-02,234525,234525
2006,IL,ILLINOIS,17,2,IL-02,172490,172490
2008,IL,ILLINOIS,17,2,IL-02,280776,280776
2010,IL,ILLINOIS,17,2,IL-02,187113,187113
2012,IL,ILLINOIS,17,2,IL-02,297712,297712
2014,IL,ILLINOIS,17,2,IL-02,204266,204266
2016,IL,ILLINOIS,17,2,IL-02,294522,294522
2018,IL,ILLINOIS,17,2,IL-02,235251,235251
2020,IL,ILLINOIS,17,2,IL-02,298038,298038
2022,IL,ILLINOIS,17,2,IL-02,209175,209175
2024,IL,ILLINOIS,17,2,IL-02,289843,289843
1976,IL,ILLINOIS,17,3,IL-03,196365,196365
1978,IL,ILLINOIS,17,3,IL-03,146800,146800
1980,IL,ILLINOIS,17,3,IL-03,199240,199240
1982,IL,ILLINOIS,17,3,IL-03,185659,185659
1984,IL,ILLINOIS,17,3,IL-03,222582,222582
1986,IL,ILLINOIS,17,3,IL-03,155567,155567
1988,IL,ILLINOIS,17,3,IL-03,212292,212292
1990,IL,ILLINOIS,17,3,IL-03,155811,155811
1992,IL,ILLINOIS,17,3,IL-03,255293,255293
1994,IL,ILLINOIS,17,3,IL-03,170516,170516
1996,IL,ILLINOIS,17,3,IL-03,209916,209916
1998,IL,ILLINOIS,17,3,IL-03,159899,159899
2000,IL,ILLINOIS,17,3,IL-03,192503,192503
2002,IL,ILLINOIS,17,3,IL-03,156042,156042
2004,IL,ILLINOIS,17,3,IL-03,229956,229956
2006,IL,ILLINOIS,17,3,IL-03,165722,165722
2008,IL,ILLINOIS,17,3,IL-03,235524,235524
2010,IL,ILLINOIS,17,3,IL-03,166627,166627
2012,IL,ILLINOIS,17,3,IL-03,246398,246398
2014,IL,ILLINOIS,17,3,IL-03,180855,180855
2016,IL,ILLINOIS,17,3,IL-03,225411,225411
2018,IL,ILLINOIS,17,3,IL-03,223334,223334
2020,IL,ILLINOIS,17,3,IL-03,306848,306848
2022,IL,ILLINOIS,17,3,IL-03,177759,177759
2024,IL,ILLINOIS,17,3,IL-03,259908,259908
1976,IL,ILLINOIS,17,4,IL-04,189772,189772
1978,IL,ILLINOIS,17,4,IL-04,141229,141229
1980,IL,ILLINOIS,17,4,IL-04,224192,224192
1982,IL,ILLINOIS,17,4,IL-04,146172,146172
1984,IL,ILLINOIS,17,4,IL-04,190291,190291
1986,IL,ILLINOIS,17,4,IL-04,119356,119356
1988,IL,ILLINOIS,17,4,IL-04,181525,181525
1990,IL,ILLINOIS,17,4,IL-04,130548,130548
1992,IL,ILLINOIS,17,4,IL-04,116606,116606
1994,IL,ILLINOIS,17,4,IL-04,62079,62079
1996,IL,ILLINOIS,17,4,IL-04,91135,91135
1998,IL,ILLINOIS,17,4,IL-04,66356,66356
2000,IL,ILLINOIS,17,4,IL-04,100963,100963
2002,IL,ILLINOIS,17,4,IL-04,84513,84513
2004,IL,ILLINOIS,17,4,IL-04,125142,125142
2006,IL,ILLINOIS,17,4,IL-04,81442,81442
2008,IL,ILLINOIS,17,4,IL-04,139606,139606
2010,IL,ILLINOIS,17,4,IL-04,81792,81792
2012,IL,ILLINOIS,17,4,IL-04,160509,160509
2014,IL,ILLINOIS,17,4,IL-04,101944,101944
2016,IL,ILLINOIS,17,4,IL-04,171297,171297
2018,IL,ILLINOIS,17,4,IL-04,166189,166189
2020,IL,ILLINOIS,17,4,IL-04,222737,222737
2022,IL,ILLINOIS,17,4,IL-04,133047,133047
2024,IL,ILLINOIS,17,4,IL-04,206396,206396
1976,IL,ILLINOIS,17,5,IL-05,155092,155092
1978,IL,ILLINOIS,17,5,IL-05,117506,117506
1980,IL,ILLINOIS,17,5,IL-05,133279,133279
1982,IL,ILLINOIS,17,5,IL-05,146322,146322
1984,IL,ILLINOIS,17,5,IL-05,167708,167708
1986,IL,ILLINOIS,17,5,IL-05,117204,117204
1988,IL,ILLINOIS,17,5,IL-05,152695,152695
1990,IL,ILLINOIS,17,5,IL-05,111246,111246
1992,IL,ILLINOIS,17,5,IL-05,232083,232083
1994,IL,ILLINOIS,17,5,IL-05,138393,138393
1996,IL,ILLINOIS,17,5,IL-05,183326,183326
1998,IL,ILLINOIS,17,5,IL-05,129425,129425
2000,IL,ILLINOIS,17,5,IL-05,162889,162889
2002,IL,ILLINOIS,17,5,IL-05,159435,159435
2004,IL,ILLINOIS,17,5,IL-05,207930,207930
2006,IL,ILLINOIS,17,5,IL-05,146581,146581
2008,IL,ILLINOIS,17,5,IL-05,230892,230892
2010,IL,ILLINOIS,17,5,IL-05,153435,153435
2012,IL,ILLINOIS,17,5,IL-05,270377,270377
2014,IL,ILLINOIS,17,5,IL-05,184019,184019
2016,IL,ILLINOIS,17,5,IL-05,313724,313724
2018,IL,ILLINOIS,17,5,IL-05,279131,279131
2020,IL,ILLINOIS,17,5,IL-05,361271,361271
2022,IL,ILLINOIS,17,5,IL-05,274550,274550
2024,IL,ILLINOIS,17,5,IL-05,363965,363965
1976,IL,ILLINOIS,17,6,IL-06,176027,176027
1978,IL,ILLINOIS,17,6,IL-06,131737,131737
1980,IL,ILLINOIS,17,6,IL-06,184550,184550
1982,IL,ILLINOIS,17,6,IL-06,143168,143168
1984,IL,ILLINOIS,17,6,IL-06,209562,209562
1986,IL,ILLINOIS,17,6,IL-06,130260,130260
1988,IL,ILLINOIS,17,6,IL-06,208229,208229
1990,IL,ILLINOIS,17,6,IL-06,144565,144565
1992,IL,ILLINOIS,17,6,IL-06,251904,251904
1994,IL,ILLINOIS,17,6,IL-06,157378,157378
1996,IL,ILLINOIS,17,6,IL-06,205954,205954
1998,IL,ILLINOIS,17,6,IL-06,165708,165708
2000,IL,ILLINOIS,17,6,IL-06,226207,226207
2002,IL,ILLINOIS,17,6,IL-06,173872,173872
2004,IL,ILLINOIS,17,6,IL-06,250097,250097
2006,IL,ILLINOIS,17,6,IL-06,177957,177957
2008,IL,ILLINOIS,17,6,IL-06,256913,256913
2010,IL,ILLINOIS,17,6,IL-06,179835,179835
2012,IL,ILLINOIS,17,6,IL-06,326129,326129
2014,IL,ILLINOIS,17,6,IL-06,238752,238752
2016,IL,ILLINOIS,17,6,IL-06,352146,352146
2018,IL,ILLINOIS,17,6,IL-06,315446,315446
2020,IL,ILLINOIS,17,6,IL-06,404747,404747
2022,IL,ILLINOIS,17,6,IL-06,276859,276859
2024,IL,ILLINOIS,17,6,IL-06,362849,362849
1976,IL,ILLINOIS,17,7,IL-07,104094,104094
1978,IL,ILLINOIS,17,7,IL-07,74989,74989
1980,IL,ILLINOIS,17,7,IL-07,94097,94097
1982,IL,ILLINOIS,17,7,IL-07,154974,154974
1984,IL,ILLINOIS,17,7,IL-07,172908,172908
1986,IL,ILLINOIS,17,7,IL-07,113164,113164
1988,IL,ILLINOIS,17,7,IL-07,135331,135331
1990,IL,ILLINOIS,17,7,IL-07,100120,100120
1992,IL,ILLINOIS,17,7,IL-07,225281,225281
1994,IL,ILLINOIS,17,7,IL-07,117468,117468
1996,IL,ILLINOIS,17,7,IL-07,181095,181095
