State,State_Code,District,NAME,Total_Population,Median_Household_Income,Median_Home_Value,Median_Age,White_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Citizen_Voting_Age_Population
Pennsylvania,42,11,"Congressional District 11 (119th Congress), Pennsylvania",781923,85402,318400,40.6,641814,26665,84489,591735
Pennsylvania,42,12,"Congressional District 12 (119th Congress), Pennsylvania",754530,74565,219600,40.5,554928,106110,23584,607109
Pennsylvania,42,13,"Congressional District 13 (119th Congress), Pennsylvania",769505,70192,216400,43.7,686271,17202,33028,606376
Pennsylvania,42,14,"Congressional District 14 (119th Congress), Pennsylvania",752379,67410,195100,45.3,683434,24622,15120,610614
Pennsylvania,42,15,"Congressional District 15 (119th Congress), Pennsylvania",758111,65193,184100,42.4,689790,11873,18330,608634
Pennsylvania,42,16,"Congressional District 16 (119th Congress), Pennsylvania",758988,67473,209000,43.4,664825,34803,23873,602108
Pennsylvania,42,17,"Congressional District 17 (119th Congress), Pennsylvania",753416,88580,256300,42.8,616111,56413,22522,584472
Rhode_Island,44,1,"Congressional District 1 (119th Congress), Rhode Island",555745,77683,464100,40.6,357055,36339,113918,411271
Rhode_Island,44,2,"Congressional District 2 (119th Congress), Rhode Island",556563,92127,448500,41.3,405305,25425,95058,427003
South_Carolina,45,1,"Congressional District 1 (119th Congress), South Carolina",797468,95136,466400,41.5,557015,126917,69598,605661
South_Carolina,45,2,"Congressional District 2 (119th Congress), South Carolina",764414,77683,273300,40.2,465999,195987,58061,572203
South_Carolina,45,3,"Congressional District 3 (119th Congress), South Carolina",766747,65919,255400,41.4,566352,117063,53227,594528
South_Carolina,45,4,"Congressional District 4 (119th Congress), South Carolina",810387,78299,309800,38.3,529805,136514,99462,590081
South_Carolina,45,5,"Congressional District 5 (119th Congress), South Carolina",782718,75344,297000,40.1,501215,185391,50997,584150
South_Carolina,45,6,"Congressional District 6 (119th Congress), South Carolina",762934,58458,249500,37.3,329240,336692,55776,590127
South_Carolina,45,7,"Congressional District 7 (119th Congress), South Carolina",794163,61149,275900,46.0,512383,196382,47096,623219
Tennessee,47,2,"Congressional District 2 (119th Congress), Tennessee",813928,72659,364300,40.3,679134,43241,50248,627998
Tennessee,47,3,"Congressional District 3 (119th Congress), Tennessee",809872,74530,315200,40.8,637895,71538,56363,620768
Tennessee,47,4,"Congressional District 4 (119th Congress), Tennessee",826508,73896,346200,37.7,629036,71645,77875,605054
Tennessee,47,5,"Congressional District 5 (119th Congress), Tennessee",835216,96192,489200,37.9,577816,101052,100387,584082
Tennessee,47,6,"Congressional District 6 (119th Congress), Tennessee",803181,72083,355500,39.9,638556,66403,62255,610170
Tennessee,47,7,"Congressional District 7 (119th Congress), Tennessee",816216,79222,363400,35.7,585398,121734,67277,619514
Tennessee,47,8,"Congressional District 8 (119th Congress), Tennessee",774995,70081,262600,41.9,561580,132273,30293,590869
Tennessee,47,9,"Congressional District 9 (119th Congress), Tennessee",749932,55603,225300,34.3,183865,459701,77073,524642
