State,State_Code,District,NAME,Total_Population,Median_Household_Income,Median_Home_Value,Median_Age,White_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Citizen_Voting_Age_Population
Florida,12,14,"Congressional District 14 (119th Congress), Florida",826751,81076,444000,39.0,405166,142299,239080,591831
Florida,12,15,"Congressional District 15 (119th Congress), Florida",835404,72384,362100,39.1,439026,114490,240326,598003
Florida,12,16,"Congressional District 16 (119th Congress), Florida",882786,88995,421900,43.9,538141,109357,200923,637732
Florida,12,17,"Congressional District 17 (119th Congress), Florida",877095,79214,400600,54.7,650111,42988,153523,688560
Florida,12,18,"Congressional District 18 (119th Congress), Florida",875428,64757,277000,41.2,490514,114819,279961,619751
Florida,12,19,"Congressional District 19 (119th Congress), Florida",826915,88378,462800,53.7,577440,53935,176632,634776
Florida,12,20,"Congressional District 20 (119th Congress), Florida",818131,70263,364500,40.0,177343,399309,220865,517572
Florida,12,21,"Congressional District 21 (119th Congress), Florida",859087,86626,471100,48.6,550604,118131,176656,648132
Florida,12,22,"Congressional District 22 (119th Congress), Florida",804159,83106,472500,45.9,406130,144390,228519,541901
Florida,12,23,"Congressional District 23 (119th Congress), Florida",802266,90649,580100,44.9,442344,119975,194314,582821
Florida,12,24,"Congressional District 24 (119th Congress), Florida",830040,72293,463000,39.4,198429,322261,339909,498334
Florida,12,25,"Congressional District 25 (119th Congress), Florida",807029,87097,556200,40.7,311752,113467,379097,510973
Florida,12,26,"Congressional District 26 (119th Congress), Florida",851047,75619,529300,42.7,236706,44606,622239,491901
Florida,12,27,"Congressional District 27 (119th Congress), Florida",788713,82215,670900,41.9,232292,34141,585700,486242
Georgia,13,1,"Congressional District 1 (119th Congress), Georgia",806580,72484,291800,37.6,466170,217360,69116,599044
Georgia,13,2,"Congressional District 2 (119th Congress), Georgia",757227,51802,171000,38.2,299594,371472,48174,570617
Georgia,13,3,"Congressional District 3 (119th Congress), Georgia",799818,83442,336100,40.0,505789,184358,59076,597006
Georgia,13,4,"Congressional District 4 (119th Congress), Georgia",759754,71524,354700,36.7,155210,357735,150004,480326
Georgia,13,5,"Congressional District 5 (119th Congress), Georgia",771555,80567,389200,34.7,247666,372553,80570,577954
Georgia,13,6,"Congressional District 6 (119th Congress), Georgia",803570,90929,379000,36.4,231025,411264,109415,572866
Georgia,13,7,"Congressional District 7 (119th Congress), Georgia",815698,135546,626200,40.2,509775,69426,85483,545065
Georgia,13,8,"Congressional District 8 (119th Congress), Georgia",787897,61302,205500,37.3,457045,236546,70048,578225
Georgia,13,9,"Congressional District 9 (119th Congress), Georgia",828902,84963,395200,40.0,507423,105096,144446,581640
Georgia,13,10,"Congressional District 10 (119th Congress), Georgia",835755,79167,347100,38.2,505840,203552,80476,622965
Georgia,13,11,"Congressional District 11 (119th Congress), Georgia",811695,98527,443700,39.9,551043,93243,109468,593461
Georgia,13,12,"Congressional District 12 (119th Congress), Georgia",786415,62739,228000,37.6,407486,278094,53803,589007
Georgia,13,13,"Congressional District 13 (119th Congress), Georgia",820432,84937,356700,37.2,184282,421617,136137,545394
Georgia,13,14,"Congressional District 14 (119th Congress), Georgia",795580,78969,324100,39.3,543230,99558,102984,578776
Hawaii,15,1,"Congressional District 1 (119th Congress), Hawaii",719060,102713,912300,42.0,112451,16317,58328,525174
Hawaii,15,2,"Congressional District 2 (119th Congress), Hawaii",727086,97135,838900,41.2,204908,9170,89568,530968
Idaho,16,1,"Congressional District 1 (119th Congress), Idaho",1033662,82979,469200,39.4,843758,6138,134871,764190
Idaho,16,2,"Congressional District 2 (119th Congress), Idaho",967957,79009,416900,36.0,775424,9409,151314,704656
Illinois,17,1,"Congressional District 1 (119th Congress), Illinois",735259,69490,291700,39.8,284495,333392,88884,543426
Illinois,17,2,"Congressional District 2 (119th Congress), Illinois",732352,63599,175700,40.3,259558,347169,111069,535959
Illinois,17,4,"Congressional District 4 (119th Congress), Illinois",712078,80103,304300,38.1,221442,41253,466514,436193
Illinois,17,5,"Congressional District 5 (119th Congress), Illinois",773710,111545,462500,37.4,553501,20167,102404,577100
Illinois,17,6,"Congressional District 6 (119th Congress), Illinois",764465,96658,350400,41.3,544088,38845,126177,548443
Illinois,17,7,"Congressional District 7 (119th Congress), Illinois",760384,90223,356700,34.5,237980,276716,155574,537691
Illinois,17,8,"Congressional District 8 (119th Congress), Illinois",752591,96230,346400,40.3,411736,36262,199914,505845
Illinois,17,9,"Congressional District 9 (119th Congress), Illinois",740435,90111,408500,41.3,439207,61143,109929,530684
Illinois,17,10,"Congressional District 10 (119th Congress), Illinois",749775,103955,362200,40.1,463993,51263,189470,519363
Illinois,17,11,"Congressional District 11 (119th Congress), Illinois",766584,108620,370400,39.6,493785,44591,153415,544883
Illinois,17,12,"Congressional District 12 (119th Congress), Illinois",745901,70903,158800,42.0,649506,39886,21393,577777
Illinois,17,13,"Congressional District 13 (119th Congress), Illinois",741808,64968,167800,37.2,491916,141836,43940,566575
Illinois,17,14,"Congressional District 14 (119th Congress), Illinois",766577,98492,301300,38.4,460716,64508,189206,547080
Illinois,17,15,"Congressional District 15 (119th Congress), Illinois",739197,74855,164200,43.6,664146,19240,24242,583405
Illinois,17,16,"Congressional District 16 (119th Congress), Illinois",752764,85435,211200,42.2,635057,17772,58449,568808
Illinois,17,17,"Congressional District 17 (119th Congress), Illinois",743507,60530,143300,38.4,511057,96350,98435,556844
Indiana,18,1,"Congressional District 1 (119th Congress), Indiana",760512,75199,263800,40.7,480280,136785,137876,570666
Indiana,18,2,"Congressional District 2 (119th Congress), Indiana",751821,66934,216900,37.7,581228,48805,93905,544705
Indiana,18,3,"Congressional District 3 (119th Congress), Indiana",774688,71542,229300,37.8,627068,37772,58719,563311
Indiana,18,4,"Congressional District 4 (119th Congress), Indiana",789018,78399,279000,37.4,634747,45451,63280,579171
Indiana,18,5,"Congressional District 5 (119th Congress), Indiana",791265,80542,289500,39.4,640747,43461,43066,590028
Indiana,18,6,"Congressional District 6 (119th Congress), Indiana",777157,77374,250900,38.1,613933,43477,49788,563437
Indiana,18,7,"Congressional District 7 (119th Congress), Indiana",757121,64843,237500,34.5,350390,233665,119725,504109
Indiana,18,8,"Congressional District 8 (119th Congress), Indiana",758402,65297,198800,40.0,668400,24377,24908,581049
Indiana,18,9,"Congressional District 9 (119th Congress), Indiana",764291,70510,246100,39.3,666529,17676,35349,591267
Iowa,19,1,"Congressional District 1 (119th Congress), Iowa",804704,72200,228300,39.6,676571,36009,49601,611712
Iowa,19,2,"Congressional District 2 (119th Congress), Iowa",797329,75299,215400,40.4,687532,34500,34554,605099
Iowa,19,3,"Congressional District 3 (119th Congress), Iowa",837909,80284,262600,37.2,666854,48309,79118,602794
Iowa,19,4,"Congressional District 4 (119th Congress), Iowa",801546,73295,203700,39.0,665073,15750,89951,589729
Kansas,20,1,"Congressional District 1 (119th Congress), Kansas",731386,67677,184200,36.5,569373,18282,122641,537115
Kansas,20,2,"Congressional District 2 (119th Congress), Kansas",739248,68050,189600,38.2,536678,50480,109604,538714
Kansas,20,3,"Congressional District 3 (119th Congress), Kansas",754087,101317,398600,39.4,581706,38487,80264,550132
Kansas,20,4,"Congressional District 4 (119th Congress), Kansas",745885,70671,209000,37.8,541679,51461,110253,537781
Kentucky,21,1,"Congressional District 1 (119th Congress), Kentucky",759138,57974,188700,40.2,647764,49661,32920,579271
Kentucky,21,2,"Congressional District 2 (119th Congress), Kentucky",775395,68629,231500,39.1,645386,36285,38111,582444
Kentucky,21,3,"Congressional District 3 (119th Congress), Kentucky",763950,68989,249300,38.3,463031,152629,79266,546276
Kentucky,21,4,"Congressional District 4 (119th Congress), Kentucky",776082,81874,280600,39.7,676142,17788,37068,583642
Kentucky,21,5,"Congressional District 5 (119th Congress), Kentucky",736508,46664,121100,41.7,689461,10543,11460,573293
Kentucky,21,6,"Congressional District 6 (119th Congress), Kentucky",777299,68419,280100,37.2,614404,59425,53815,577135
Louisiana,22,1,"Congressional District 1 (119th Congress), Louisiana",798569,79823,292100,39.9,561370,95879,97438,585337
Louisiana,22,2,"Congressional District 2 (119th Congress), Louisiana",736254,58115,239700,39.6,244430,364522,83514,548571
Louisiana,22,3,"Congressional District 3 (119th Congress), Louisiana",777847,59769,208300,38.7,510889,170300,53194,566749
Louisiana,22,4,"Congressional District 4 (119th Congress), Louisiana",767466,60858,185700,39.2,528099,161388,40711,578496
Louisiana,22,5,"Congressional District 5 (119th Congress), Louisiana",763961,59583,220100,38.1,480068,211675,43589,579875
Louisiana,22,6,"Congressional District 6 (119th Congress), Louisiana",753643,50642,179700,36.5,269252,394467,39182,553416
Maine,23,1,"Congressional District 1 (119th Congress), Maine",707732,90131,448800,44.3,626345,15455,18367,568614
Maine,23,2,"Congressional District 2 (119th Congress), Maine",697280,67291,255500,45.5,633693,13790,14502,563868
Maryland,24,1,"Congressional District 1 (119th Congress), Maryland",791864,95306,378700,42.0,564937,106211,53251,613852
Maryland,24,2,"Congressional District 2 (119th Congress), Maryland",783097,94537,393900,40.3,456620,207838,51409,579577
Maryland,24,3,"Congressional District 3 (119th Congress), Maryland",782840,136641,539800,40.5,440263,142138,79419,568711
Maryland,24,4,"Congressional District 4 (119th Congress), Maryland",763420,87647,414200,37.2,87429,411415,214826,475670
Maryland,24,5,"Congressional District 5 (119th Congress), Maryland",805367,128699,477500,40.5,341920,329302,70751,594338
Maryland,24,6,"Congressional District 6 (119th Congress), Maryland",821685,105125,433800,39.6,479026,107619,123966,572711
Maryland,24,7,"Congressional District 7 (119th Congress), Maryland",741484,66738,254400,37.0,225062,390025,74087,549805
Maryland,24,8,"Congressional District 8 (119th Congress), Maryland",773463,146362,713400,41.7,342153,130574,163239,516580
Massachusetts,25,1,"Congressional District 1 (119th Congress), Massachusetts",779993,75462,345400,41.5,547387,47733,157307,604255
Massachusetts,25,2,"Congressional District 2 (119th Congress), Massachusetts",801772,97024,485300,40.7,565823,43183,92763,592515
Massachusetts,25,4,"Congressional District 4 (119th Congress), Massachusetts",802402,115485,641000,41.8,603117,39241,55341,588244
Massachusetts,25,5,"Congressional District 5 (119th Congress), Massachusetts",790877,136612,852700,38.8,486249,40932,89816,538321
Massachusetts,25,6,"Congressional District 6 (119th Congress), Massachusetts",796651,121409,705600,42.2,598614,27572,108780,587576
Massachusetts,25,7,"Congressional District 7 (119th Congress), Massachusetts",789900,98603,687400,32.5,320490,155669,183358,548024
Massachusetts,25,8,"Congressional District 8 (119th Congress), Massachusetts",784982,118563,664600,39.6,512563,77162,61166,578930
Massachusetts,25,9,"Congressional District 9 (119th Congress), Massachusetts",797381,101312,645400,46.7,668151,19099,54051,634556
Michigan,26,1,"Congressional District 1 (119th Congress), Michigan",787617,64299,223300,47.4,706071,8662,18528,646773
Michigan,26,2,"Congressional District 2 (119th Congress), Michigan",788872,66726,226900,42.2,699268,16591,40074,619936
Michigan,26,4,"Congressional District 4 (119th Congress), Michigan",785367,73702,276300,37.7,602247,57741,74129,589725
Michigan,26,5,"Congressional District 5 (119th Congress), Michigan",775260,70684,228200,42.4,661147,31070,45356,601584
Michigan,26,6,"Congressional District 6 (119th Congress), Michigan",768949,96954,368800,39.7,526155,75047,41060,574461
Michigan,26,7,"Congressional District 7 (119th Congress), Michigan",792585,80268,282200,39.2,638913,44829,47167,613324
Michigan,26,8,"Congressional District 8 (119th Congress), Michigan",769318,64576,187100,41.5,582094,106819,45253,600511
Michigan,26,9,"Congressional District 9 (119th Congress), Michigan",782471,87017,298800,43.5,690994,14327,37057,606440
Michigan,26,10,"Congressional District 10 (119th Congress), Michigan",775317,74512,254200,41.3,541928,113532,28164,588692
Michigan,26,11,"Congressional District 11 (119th Congress), Michigan",787210,92977,345700,40.5,530056,99329,43030,590498
Michigan,26,12,"Congressional District 12 (119th Congress), Michigan",751709,57324,200800,38.7,349013,335594,25510,556882
Michigan,26,13,"Congressional District 13 (119th Congress), Michigan",784609,50937,156200,35.9,309175,332039,88290,556404
Minnesota,27,1,"Congressional District 1 (119th Congress), Minnesota",718116,78573,273500,39.6,594877,25785,56593,543480
Minnesota,27,2,"Congressional District 2 (119th Congress), Minnesota",746020,108162,397500,38.6,548179,64135,63948,534476
Minnesota,27,3,"Congressional District 3 (119th Congress), Minnesota",710658,106557,423800,40.6,496834,76704,34877,516038
Minnesota,27,4,"Congressional District 4 (119th Congress), Minnesota",708464,84731,357700,37.7,445860,79705,56348,512404
Minnesota,27,5,"Congressional District 5 (119th Congress), Minnesota",705006,80274,352800,35.2,419641,127105,82912,526656
Minnesota,27,6,"Congressional District 6 (119th Congress), Minnesota",755084,105084,383200,38.6,625265,44059,31978,552935
Minnesota,27,7,"Congressional District 7 (119th Congress), Minnesota",722392,74454,255000,41.3,632073,12239,45780,545835
Minnesota,27,8,"Congressional District 8 (119th Congress), Minnesota",727411,74635,292400,43.1,636256,8791,15999,575457
Mississippi,28,1,"Congressional District 1 (119th Congress), Mississippi",753783,60524,215800,38.5,479483,207488,34388,570580
Mississippi,28,2,"Congressional District 2 (119th Congress), Mississippi",694703,47495,126300,40.7,215495,443694,13582,529684
Mississippi,28,3,"Congressional District 3 (119th Congress), Mississippi",734735,66380,185400,39.1,431702,239499,25831,558136
Mississippi,28,4,"Congressional District 4 (119th Congress), Mississippi",759824,62159,213200,39.3,508584,165290,44728,570040
Missouri,29,1,"Congressional District 1 (119th Congress), Missouri",742814,60692,195300,37.5,317642,321649,37905,567116
Missouri,29,2,"Congressional District 2 (119th Congress), Missouri",773921,101494,364700,42.1,650084,27100,27784,580365
Missouri,29,3,"Congressional District 3 (119th Congress), Missouri",799877,84323,293700,39.7,682469,39454,28773,620423
Missouri,29,4,"Congressional District 4 (119th Congress), Missouri",784156,68144,242300,39.3,662034,28982,46182,597088
Missouri,29,5,"Congressional District 5 (119th Congress), Missouri",776496,67960,247200,37.4,472023,164290,96646,572693
Missouri,29,6,"Congressional District 6 (119th Congress), Missouri",788896,75637,240500,40.2,689640,29468,33023,596499
Missouri,29,7,"Congressional District 7 (119th Congress), Missouri",803037,66064,242400,38.3,686687,15684,54833,611554
Missouri,29,8,"Congressional District 8 (119th Congress), Missouri",776269,59897,200200,40.2,685157,27249,21554,596774
Montana,30,1,"Congressional District 1 (119th Congress), Montana",579075,77017,539300,41.2,500915,1009,27593,463804
Montana,30,2,"Congressional District 2 (119th Congress), Montana",558158,73599,349600,41.5,461493,2506,27913,432864
Nebraska,31,1,"Congressional District 1 (119th Congress), Nebraska",672915,77659,278400,35.9,532635,23116,85129,484622
Nebraska,31,2,"Congressional District 2 (119th Congress), Nebraska",682617,84478,301500,35.9,471857,66498,98471,471890
Nebraska,31,3,"Congressional District 3 (119th Congress), Nebraska",649934,69788,202300,40.9,532309,6497,87924,474358
Nevada,32,1,"Congressional District 1 (119th Congress), Nevada",792232,72138,429100,39.3,326083,69757,315664,533887
Nevada,32,2,"Congressional District 2 (119th Congress), Nevada",802677,86806,491000,40.2,514716,18817,201824,590513
Nevada,32,3,"Congressional District 3 (119th Congress), Nevada",839433,90358,489400,41.4,376990,85013,176984,604242
Nevada,32,4,"Congressional District 4 (119th Congress), Nevada",833125,75889,415700,36.7,351182,137309,304955,564555
New_Hampshire,33,1,"Congressional District 1 (119th Congress), New Hampshire",708843,102258,487000,43.4,624757,10930,37984,567809
New_Hampshire,33,2,"Congressional District 2 (119th Congress), New Hampshire",700189,97020,430000,43.8,608981,10343,32928,564138
New_Jersey,34,1,"Congressional District 1 (119th Congress), New Jersey",784146,94772,331300,39.2,469093,136778,135652,588382
New_Jersey,34,2,"Congressional District 2 (119th Congress), New Jersey",794193,84183,358900,43.6,514671,87631,153271,596989
New_Jersey,34,3,"Congressional District 3 (119th Congress), New Jersey",795627,116950,445200,42.0,492853,103010,105422,587363
New_Jersey,34,4,"Congressional District 4 (119th Congress), New Jersey",795125,103769,522100,40.5,647505,32014,85201,571619
New_Jersey,34,5,"Congressional District 5 (119th Congress), New Jersey",794119,130387,628800,43.2,452669,49904,151804,565198
New_Jersey,34,7,"Congressional District 7 (119th Congress), New Jersey",789429,132702,591400,43.6,546798,42947,110834,583475
New_Jersey,34,8,"Congressional District 8 (119th Congress), New Jersey",780391,88096,565100,35.2,232294,74417,400382,418639
New_Jersey,34,10,"Congressional District 10 (119th Congress), New Jersey",800200,76594,483700,37.3,156917,379802,195368,514776
New_Jersey,34,11,"Congressional District 11 (119th Congress), New Jersey",800060,141429,667900,41.5,500236,41412,141018,576424
New_Jersey,34,12,"Congressional District 12 (119th Congress), New Jersey",808427,117099,529100,39.4,306278,125789,189265,502713
New_Mexico,35,1,"Congressional District 1 (119th Congress), New Mexico",711081,77246,341800,41.3,394489,21627,303587,544763
New_Mexico,35,2,"Congressional District 2 (119th Congress), New Mexico",710491,60933,236400,38.0,281734,18868,431448,504998
New_Mexico,35,3,"Congressional District 3 (119th Congress), New Mexico",708684,66346,256900,40.2,311180,9555,311218,520049
New_York,36,1,"Congressional District 1 (119th Congress), New York",782097,130141,674100,43.5,569768,36392,115988,588332
New_York,36,2,"Congressional District 2 (119th Congress), New York",777625,125071,582800,39.7,431724,84198,242962,546229
New_York,36,3,"Congressional District 3 (119th Congress), New York",775796,138234,786200,45.1,405156,34062,124646,557832
New_York,36,4,"Congressional District 4 (119th Congress), New York",777491,137724,663600,41.4,394836,139349,178058,549445
New_York,36,5,"Congressional District 5 (119th Congress), New York",766680,82463,687800,41.6,111571,315591,171286,507817
New_York,36,6,"Congressional District 6 (119th Congress), New York",726418,82145,758100,44.2,174682,34314,189441,430521
New_York,36,7,"Congressional District 7 (119th Congress), New York",777946,92194,866900,34.2,337340,79127,260247,500848
New_York,36,8,"Congressional District 8 (119th Congress), New York",739447,63052,781700,39.9,224191,311337,116877,511607
New_York,36,9,"Congressional District 9 (119th Congress), New York",711601,76531,834700,38.0,227031,288177,81290,477483
New_York,36,10,"Congressional District 10 (119th Congress), New York",757254,119517,1326500,35.4,390020,55226,151086,524030
New_York,36,11,"Congressional District 11 (119th Congress), New York",759734,90759,719000,41.0,402785,51590,151811,511822
New_York,36,12,"Congressional District 12 (119th Congress), New York",752016,153117,1199200,39.5,481346,44078,92268,584278
New_York,36,13,"Congressional District 13 (119th Congress), New York",747542,52401,651900,39.0,158347,200731,372885,505876
New_York,36,14,"Congressional District 14 (119th Congress), New York",737491,64547,655300,36.6,166017,112463,392596,437779
New_York,36,15,"Congressional District 15 (119th Congress), New York",754448,44554,581800,35.5,90700,283532,402724,460864
New_York,36,16,"Congressional District 16 (119th Congress), New York",773517,102025,671100,41.6,330325,158715,229814,537405
New_York,36,17,"Congressional District 17 (119th Congress), New York",783152,123436,635500,39.8,499005,59635,175202,531818
New_York,36,18,"Congressional District 18 (119th Congress), New York",791202,91635,423700,39.8,516554,81090,163819,584234
New_York,36,19,"Congressional District 19 (119th Congress), New York",776282,73323,249500,42.5,624412,35092,59209,617673
New_York,36,20,"Congressional District 20 (119th Congress), New York",790733,85230,319100,39.3,573404,68433,62458,613945
