Dist,2025 Incumbent,Party,District description,2025 PVI,"2025 PVI Rank
Sortable",
NJ-07,Thomas Kean Jr.,R,"North central: Westfield, Bridgewater, Hunterdon County",EVEN,212,
NJ-08,Rob Menendez,D,"Northeast: Jersey City, Union City, Elizabeth",D+15,90,
NJ-09,Nellie Pou,D,"Northeast: Paterson, Passaic, Clifton",D+2,196,
NJ-10,LaMonica McIver,D,"Northeast: Newark, East Orange, West Orange",D+27,20,
NJ-11,Mikie Sherrill,D,"North: most of Morris County, Montclair, Maplewood",D+5,157,
NJ-12,Bonnie Watson Coleman,D,"Central: Trenton, Princeton, Plainfield",D+13,105,
NM-01,Melanie Stansbury,D,"Albuquerque and suburbs, Roswell",D+7,148,
NM-02,Gabe Vasquez,D,"Las Cruces, west side of Albuquerque, Carlsbad",EVEN,211,
NM-03,Teresa Leger Fernandez,D,"North: Santa Fe, Farmington, Clovis",D+3,181,
NY-01,Nick LaLota,R,"Long Island North Shore: Riverhead, Smithtown, the Hamptons",R+4,240,
NY-02,Andrew Garbarino,R,"Long Island South Shore: Islip, Massapequa, Brookhaven",R+6,256,
NY-03,Tom Suozzi,D,"Nassau County: Oyster Bay, Great Neck, Huntington",EVEN,214,
NY-04,Laura Gillen,D,"Nassau County: Hempstead, Mineola",D+2,193,
NY-05,Gregory Meeks,D,"Parts of Queens: Jamaica, the Rockaways",D+24,34,
NY-06,Grace Meng,D,"Parts of Queens: Flushing, Elmhurst",D+6,154,
NY-07,Nydia Velázquez,D,"Parts of Brooklyn, Queens: Bushwick, Williamsburg, Long Island City",D+25,29,
NY-08,Hakeem Jeffries,D,"Parts of Brooklyn: Bedford-Stuyvesant, Canarsie",D+24,38,
NY-09,Yvette Clarke,D,"Parts of Brooklyn: Crown Heights, Flatbush, Midwood",D+22,42,
NY-10,Dan Goldman,D,"Lower Manhattan, parts of Brooklyn: Park Slope, Sunset Park",D+32,12,
NY-11,Nicole Malliotakis,R,"Staten Island, parts of Brooklyn: Bay Ridge, Bensonhurst",R+10,310,
NY-12,Jerry Nadler,D,"Manhattan: Midtown, Upper West Side, Upper East Side",D+33,9,
NY-13,Adriano Espaillat,D,"Parts of Manhattan, Bronx: Harlem, Washington Heights",D+32,11,
NY-14,Alexandria Ocasio-Cortez,D,"Parts of Queens, Bronx: Jackson Heights, Parkchester",D+19,64,
NY-15,Ritchie Torres,D,"Parts of the Bronx: South Bronx, Riverdale",D+27,22,
NY-16,George Latimer,D,"Westchester County: Mount Vernon, Yonkers, White Plains",D+18,72,
NY-17,Mike Lawler,R,"Hudson Valley: Rockland County, Peekskill, Cold Spring",D+1,201,
NY-18,Pat Ryan,D,"Hudson Valley: Newburgh, Poughkeepsie, Kingston",D+2,191,
NY-19,Josh Riley,D,"Central Upstate: Binghamton, Ithaca, Hudson",D+1,203,
NY-20,Paul Tonko,D,"Capital region: Albany, Schenectady, Saratoga Springs",D+8,142,
NY-21,Elise Stefanik,R,"North Country: Adirondacks, Plattsburgh, Rome",R+10,303,
NY-22,John Mannion,D,"Central Upstate: Syracuse, Utica, Cortland",D+4,169,
NY-23,Nick Langworthy,R,"Buffalo suburbs and Southern Tier: Jamestown, Elmira",R+10,309,
NY-24,Claudia Tenney,R,"Lake Ontario: Batavia, Oswego, Watertown",R+11,327,
NY-25,Joseph Morelle,D,West: Rochester and suburbs,D+10,134,
NY-26,Tim Kennedy,D,"West: Buffalo, Niagara Falls",D+11,126,
NC-01,Don Davis,D,"Northeast: Rocky Mount, Wilson, Elizabeth City",R+1,221,
NC-02,Deborah Ross,D,"Research Triangle: Raleigh, Cary",D+17,77,
NC-03,Greg Murphy,R,"East: Greenville, Outer Banks, Jacksonville",R+10,314,
NC-04,Valerie Foushee,D,"Research Triangle: Durham, Chapel Hill",D+23,41,
NC-05,Virginia Foxx,R,"Northwest: Mount Airy, Boone, Greensboro",R+9,291,
NC-06,Addison McDowell,R,"West central: Kannapolis, Salisbury, High Point",R+9,290,
NC-07,David Rouzer,R,"Southeast: Wilmington, parts of Fayetteville",R+7,263,
NC-08,Mark Harris,R,"South central: Charlotte exurbs, Lumberton",R+10,298,
NC-09,Richard Hudson,R,"Central: Burlington, Asheboro, Pinehurst",R+8,280,
NC-10,Pat Harrigan,R,"West central: Hickory, Statesville, Winston-Salem",R+9,293,
NC-11,Chuck Edwards,R,"Western North Carolina: Asheville, Hendersonville",R+5,247,
NC-12,Alma Adams,D,Southwest: Charlotte,D+24,32,
NC-13,Brad Knott,R,"Raleigh exurbs: Smithfield, Sanford, Louisburg",R+8,289,
NC-14,Tim Moore,R,"Southwest: Gastonia, Morganton, Huntersville",R+8,279,
ND-AL,Julie Fedorchak,R,Entire state,R+18,394,
OH-01,Greg Landsman,D,Cincinnati and suburbs: Warren County,D+3,179,
OH-02,David Taylor,R,"South: Cincinnati suburbs, Portsmouth",R+24,424,
OH-03,Joyce Beatty,D,"Central: Columbus, Westerville",D+21,53,
OH-04,Jim Jordan,R,"North central: Lima, Marion, Delaware",R+18,395,
OH-05,Bob Latta,R,"Northwest: Bowling Green, Findlay, Lorain",R+14,357,
OH-06,Michael Rulli,R,"East: Youngstown, Steubenville, Marietta",R+16,376,
OH-07,Max Miller,R,"Northeast: Parma, Brunswick, Wooster",R+5,248,
OH-08,Warren Davidson,R,"Southwest: Butler County, Cincinnati suburbs",R+12,335,
OH-09,Marcy Kaptur,D,"Northwest: Toledo, Sandusky",R+3,235,
OH-10,Mike Turner,R,"Southwest: Dayton, Springfield",R+3,232,
OH-11,Shontel Brown,D,Northeast: Cleveland,D+28,19,
OH-12,Troy Balderson,R,"East central: Zanesville, Newark, Athens",R+16,374,
OH-13,Emilia Sykes,D,"Northeast: Akron, Canton",EVEN,208,
OH-14,David Joyce,R,"Northeast: Lake County, Ashtabula, Warren",R+9,292,
OH-15,Mike Carey,R,"Columbus suburbs: Hilliard, Piqua",R+4,242,
OK-01,Kevin Hern,R,Tulsa and suburbs,R+11,322,
OK-02,Josh Brecheen,R,"East: Muskogee, McAlester",R+28,432,
OK-03,Frank Lucas,R,"West: The Panhandle, Stillwater, Enid",R+23,421,
OK-04,Tom Cole,R,"South: Norman, Lawton, Ardmore",R+17,381,
OK-05,Stephanie Bice,R,Oklahoma City and suburbs: Edmond,R+9,294,
OR-01,Suzanne Bonamici,D,Northwest: Portland suburbs,D+20,58,
OR-02,Cliff Bentz,R,"East: Pendleton, Medford",R+14,347,
OR-03,Maxine Dexter,D,"Portland, Hood River",D+24,33,
OR-04,Val Hoyle,D,"Eugene, Corvallis",D+6,152,
OR-05,Janelle Bynum,D,"Portland suburbs, Bend",D+4,166,
OR-06,Andrea Salinas,D,"Portland suburbs, Salem",D+6,155,
PA-01,Brian Fitzpatrick,R,Philadelphia suburbs: Bucks County,D+1,206,
PA-02,Brendan Boyle,D,Northeast Philadelphia,D+19,65,
PA-03,Dwight Evans,D,North and West Philadelphia,D+40,1,
PA-04,Madeleine Dean,D,Philadelphia suburbs: Montgomery County,D+8,137,
PA-05,Mary Gay Scanlon,D,"Delaware County, South Philadelphia",D+15,91,
PA-06,Chrissy Houlahan,D,"Philadelphia exurbs: Chester County, Reading",D+6,153,
PA-07,Ryan MacKenzie,R,"Lehigh Valley: Allentown, Bethlehem, Easton",R+1,223,
PA-08,Rob Bresnahan,R,"Northeast: Scranton, Wilkes-Barre, East Stroudsburg",R+4,237,
PA-09,Dan Meuser,R,"North central: Williamsport, Lebanon, Pottsville",R+19,397,
PA-10,Scott Perry,R,"Central: Harrisburg, York, Carlisle",R+3,230,
PA-11,Lloyd Smucker,R,"South central: Lancaster County, rural York County",R+11,318,
PA-12,Summer Lee,D,Pittsburgh and eastern suburbs: Monroeville,D+10,131,
PA-13,John Joyce,R,"South central: Altoona, Johnstown, Gettysburg",R+23,420,
PA-14,Guy Reschenthaler,R,"Southwest: Washington, Uniontown, Latrobe",R+17,379,
PA-15,Glenn Thompson,R,"North central: State College, Clearfield",R+19,398,
PA-16,Mike Kelly,R,"Northwest: Erie, New Castle, Butler",R+11,325,
PA-17,Chris Deluzio,D,"Pittsburgh suburbs: Mt. Lebanon, Penn Hills, Beaver Falls",D+3,187,
RI-01,Gabe Amo,D,"East: parts of Providence, Pawtucket, Newport",D+12,112,
RI-02,Seth Magaziner,D,"West: parts of Providence, Warwick, Cranston",D+4,168,
SC-01,Nancy Mace,R,"Lowcountry: Charleston, Hilton Head Island",R+6,259,
SC-02,Joe Wilson,R,"Midlands: Columbia suburbs, Aiken",R+7,264,
SC-03,Sheri Biggs,R,"Northwest: Anderson, Greenwood",R+21,408,
SC-04,William Timmons,R,"Upstate: Greenville, Spartanburg",R+11,329,
SC-05,Ralph Norman,R,"North: Rock Hill, Lancaster",R+11,321,
SC-06,Jim Clyburn,D,"Parts of Columbia and Charleston, Sumter",D+13,101,
SC-07,Russell Fry,R,"Northeast: Myrtle Beach, Florence",R+12,340,
SD-AL,Dusty Johnson,R,Entire state,R+15,359,
TN-01,Diana Harshbarger,R,"Northeast: Kingsport, Bristol, Johnson City",R+29,433,
TN-02,Tim Burchett,R,"East: Knoxville, Maryville",R+17,380,
TN-03,Chuck Fleischmann,R,"East: Chattanooga, Oak Ridge",R+18,385,
TN-04,Scott DesJarlais,R,"South central: Murfreesboro, Jasper",R+21,410,
TN-05,Andy Ogles,R,"Central: parts of Nashville, Franklin, Columbia",R+8,284,
TN-06,John Rose,R,"North central: exurban Nashville, Cookeville",R+17,384,
TN-07,Mark Green,R,"West central: parts of Nashville, Clarksville",R+10,313,
TN-08,David Kustoff,R,"West: Memphis suburbs, Jackson",R+21,406,
TN-09,Steve Cohen,D,Memphis and northern suburbs,D+23,40,
TX-01,Nathaniel Moran,R,"Northeast: Tyler, Texarkana",R+25,426,
TX-02,Dan Crenshaw,R,"Houston suburbs: Kingwood, Humble",R+12,338,
TX-03,Keith Self,R,"Dallas suburbs: Plano, McKinney",R+10,297,
TX-04,Pat Fallon,R,"Dallas exurbs: Rockwall, Sherman, Frisco",R+16,370,
TX-05,Lance Gooden,R,"Dallas exurbs: Terrell, Mesquite",R+13,343,
TX-06,Jake Ellzey,R,"Dallas exurbs: Waxahachie, Palestine",R+14,350,
