Dist,First,Last,Party,2009 PVI,2009 Raw PVI,Rank
AL-01,Jo,Bonner,R,R+15,R+14.66,374
AL-02,Bobby,Bright,D,R+16,R+16.38,393
AL-03,Mike,Rogers,R,R+9,R+9.35,322
AL-04,Robert,Aderholt,R,R+28,R+28.39,431
AL-05,Parker,Griffith,D,R+14,R+13.82,365
AL-06,Spencer,Bachus,R,R+30,R+30.09,435
AL-07,Artur,Davis,D,D+19,D+19.21,57
AK-00,Don,Young,R,R+14,R+14.06,368
AZ-01,Ann,Kirkpatrick,D,R+7,R+7.37,292
AZ-02,Trent,Franks,R,R+14,R+14.02,367
AZ-03,John,Shadegg,R,R+10,R+9.88,331
AZ-04,Ed,Pastor,D,D+13,D+12.97,84
AZ-05,Harry,Mitchell,D,R+5,R+5.27,267
AZ-06,Jeff,Flake,R,R+15,R+15.14,383
AZ-07,Raúl,Grijalva,D,D+5,D+5.19,151
AZ-08,Gabby,Giffords,D,R+6,R+5.52,270
AR-01,Robert Marion,Berry,D,R+11,R+10.87,339
AR-02,Vic,Snyder,D,R+7,R+6.73,284
AR-03,John,Boozman,R,R+18,R+17.52,406
AR-04,Mike,Ross,D,R+10,R+10.18,333
CA-01,Mike,Thompson,D,D+13,D+13.34,81
CA-02,Wally,Herger,R,R+10,R+10.44,336
CA-03,Dan,Lungren,R,R+4,R+4.47,249
CA-04,Tom,McClintock,R,R+9,R+9.37,323
CA-05,Doris,Matsui,D,D+16,D+16.24,67
CA-06,Lynn,Woolsey,D,D+24,D+23.55,38
CA-07,George,Miller,D,D+19,D+19.24,56
CA-08,Nancy,Pelosi,D,D+34,D+34.47,12
CA-09,Barbara,Lee,D,D+37,D+36.8,6
CA-10,Ellen,Tauscher,D,D+12,D+11.91,95
CA-11,Jerry,McNerney,D,EVEN,D+0.01,200
CA-12,Jackie,Speier,D,D+22,D+22.41,41
CA-13,Pete,Stark,D,D+22,D+22.29,43
CA-14,Anna,Eshoo,D,D+21,D+20.85,51
CA-15,Mike,Honda,D,D+16,D+15.77,69
CA-16,Zoe,Lofgren,D,D+17,D+16.59,66
CA-17,Sam,Farr,D,D+19,D+19.43,55
CA-18,Dennis,Cardoza,D,D+5,D+5.25,149
CA-19,George,Radanovich,R,R+8,R+7.72,301
CA-20,Jim,Costa,D,D+6,D+5.77,145
CA-21,Devin,Nunes,R,R+12,R+11.9,344
CA-22,Kevin,McCarthy,R,R+15,R+15.3,386
CA-23,Lois,Capps,D,D+13,D+12.51,90
CA-24,Elton,Gallegly,R,R+3,R+2.97,232
CA-25,Buck,McKeon,R,R+4,R+4.42,245
CA-26,David,Dreier,R,R+2,R+2.34,226
CA-27,Brad,Sherman,D,D+13,D+13.29,82
CA-28,Howard,Berman,D,D+24,D+23.66,37
CA-29,Adam,Schiff,D,D+15,D+14.82,75
CA-30,Henry,Waxman,D,D+18,D+17.99,62
CA-31,Xavier,Becerra,D,D+28,D+28.38,26
CA-32,Hilda,Solis,D,D+15,D+15.47,72
CA-33,Diane,Watson,D,D+35,D+34.61,11
CA-34,Lucille,Roybal-Allard,D,D+22,D+22.25,44
CA-35,Maxine,Waters,D,D+32,D+31.73,21
CA-36,Jane,Harman,D,D+12,D+11.82,97
CA-37,Laura,Richardson,D,D+27,D+26.9,28
CA-38,Grace,Napolitano,D,D+19,D+18.65,59
CA-39,Linda,Sánchez,D,D+13,D+12.51,89
CA-40,Ed,Royce,R,R+7,R+6.94,287
CA-41,Jerry,Lewis,R,R+10,R+9.64,329
CA-42,Gary,Miller,R,R+9,R+8.81,314
CA-43,Joe,Baca,D,D+14,D+14.24,78
CA-44,Ken,Calvert,R,R+5,R+4.51,250
CA-45,Mary,Bono Mack,R,R+2,R+2.35,227
CA-46,Dana,Rohrabacher,R,R+5,R+5.1,262
CA-47,Loretta,Sanchez,D,D+6,D+5.93,142
CA-48,John B. T.,Campbell III,R,R+4,R+4.44,246
CA-49,Darrell,Issa,R,R+9,R+8.76,313
CA-50,Brian,Bilbray,R,R+2,R+2.29,223
CA-51,Bob,Filner,D,D+9,D+9.02,116
CA-52,Duncan D.,Hunter,R,R+9,R+8.66,312
CA-53,Susan,Davis,D,D+15,D+15.17,74
CO-01,Diana,DeGette,D,D+21,D+21.29,47
CO-02,Jared,Polis,D,D+11,D+11.18,102
CO-03,John,Salazar,D,R+5,R+4.86,255
CO-04,Betsy,Markey,D,R+5,R+4.88,256
CO-05,Doug,Lamborn,R,R+14,R+13.81,364
CO-06,Mike,Coffman,R,R+8,R+7.52,295
CO-07,Ed,Perlmutter,D,D+5,D+5.24,150
CT-01,John B.,Larson,D,D+13,D+12.84,86
CT-02,Joe,Courtney,D,D+6,D+5.78,144
CT-03,Rosa,DeLauro,D,D+9,D+9.37,114
CT-04,Jim,Himes,D,D+6,D+5.89,143
CT-05,Chris,Murphy,D,D+3,D+2.88,172
DE-00,Mike,Castle,R,D+8,D+7.98,124
FL-01,Jeff,Miller,R,R+21,R+21.16,420
FL-02,Allen,Boyd,D,R+7,R+7.2,290
FL-03,Corrine,Brown,D,D+19,D+18.83,58
FL-04,Ander,Crenshaw,R,R+17,R+16.83,398
FL-05,Ginny,Brown-Waite,R,R+9,R+9.4,325
FL-06,Cliff,Stearns,R,R+11,R+10.56,338
FL-07,John,Mica,R,R+7,R+7.07,289
FL-08,Alan,Grayson,D,R+2,R+1.88,220
FL-09,Michael,Bilirakis,R,R+6,R+6.33,279
FL-10,Bill,Young,R,R+1,R+1.18,214
FL-11,Kathy,Castor,D,D+12,D+12.22,93
FL-12,Adam,Putnam,R,R+5,R+4.94,257
FL-13,Vern,Buchanan,R,R+6,R+6.11,276
FL-14,Connie,Mack IV,R,R+11,R+11.01,341
FL-15,Bill,Posey,R,R+6,R+5.61,271
FL-16,Tom,Rooney,R,R+5,R+5.3,268
FL-17,Kendrick,Meek,D,D+34,D+34.08,13
FL-18,Ileana,Ros-Lehtinen,R,R+3,R+2.73,229
FL-19,Robert,Wexler,D,D+13,D+13.49,80
FL-20,Debbie,Wasserman Schultz,D,D+11,D+11.3,101
FL-21,Lincoln,Díaz-Balart,R,R+5,R+4.99,259
FL-22,Ron,Klein,D,EVEN,R+0.31,203
FL-23,Alcee,Hastings,D,D+29,D+28.79,25
FL-24,Suzanne,Kosmas,D,R+4,R+4.45,247
FL-25,Mario,Díaz-Balart,R,R+4,R+4.34,243
GA-01,Jack,Kingston,R,R+17,R+16.68,395
GA-02,Sanford,Bishop,D,D+1,D+1.02,192
GA-03,Lynn,Westmoreland,R,R+19,R+18.92,411
GA-04,Hank,Johnson,D,D+25,D+25.27,34
GA-05,John,Lewis,D,D+26,D+26.26,30
GA-06,David,Price,R,R+19,R+19.08,413
GA-07,John,Linder,R,R+15,R+15.18,385
GA-08,Jim,Marshall,D,R+10,R+10.16,332
GA-09,Nathan,Deal,R,R+29,R+28.9,432
GA-10,Paul,Broun,R,R+16,R+15.87,391
GA-11,Phil,Gingrey,R,R+20,R+20.45,417
GA-12,John,Barrow,D,D+2,D+1.57,184
GA-13,David,Scott,D,D+17,D+16.72,64
HI-01,Neil,Abercrombie,D,D+14,D+14.32,76
HI-02,Mazie,Hirono,D,D+17,D+17.35,63
ID-01,Walt,Minnick,D,R+17,R+17.26,402
ID-02,Mike,Simpson,R,R+17,R+16.81,397
IL-01,Bobby,Rush,D,D+34,D+33.59,15
IL-02,Jesse,Jackson Jr.,D,D+36,D+36.16,7
IL-03,Bill,Lipinski,D,D+11,D+10.81,105
IL-04,Luis,Gutiérrez,D,D+32,D+32.2,19
IL-05,Mike,Quigley,D,D+20,D+19.81,52
IL-06,Peter,Roskam,R,D+2,D+1.85,181
IL-07,Danny K.,Davis,D,D+35,D+34.65,10
IL-08,Melissa,Bean,D,D+1,D+1.09,190
IL-09,Jan,Schakowsky,D,D+20,D+19.6,53
IL-10,Mark,Kirk,R,D+7,D+6.75,135
IL-11,Debbie,Halvorson,D,EVEN,R+0.22,202
IL-12,Jerry,Costello,D,D+3,D+2.91,171
IL-13,Judy,Biggert,R,EVEN,R+0.03,201
IL-14,Bill,Foster,D,EVEN,D+0.21,198
IL-15,Tim,Johnson,R,R+6,R+5.74,273
IL-16,Donald,Manzullo,R,R+1,R+1.18,213
IL-17,Phil,Hare,D,D+4,D+3.6,161
IL-18,Aaron,Schock,R,R+5,R+5.11,264
IL-19,John,Shimkus,R,R+9,R+9.21,318
IN-01,Pete,Visclosky,D,D+8,D+8.18,121
IN-02,Joe,Donnelly,D,R+1,R+0.51,206
IN-03,Mark,Souder,R,R+12,R+12.13,346
IN-04,Steve,Buyer,R,R+12,R+12.28,347
IN-05,Dan,Burton,R,R+15,R+14.93,380
IN-06,Mike,Pence,R,R+8,R+8.45,309
IN-07,Julia,Carson,D,D+16,D+15.71,70
IN-08,Brad,Ellsworth,D,R+7,R+6.92,286
IN-09,Baron,Hill,D,R+5,R+5.47,269
IA-01,Bruce,Braley,D,D+5,D+5,155
IA-02,Dave,Loebsack,D,D+7,D+7.2,131
IA-03,Leonard,Boswell,D,D+1,D+1.09,189
IA-04,Tom,Latham,R,EVEN,D+0.13,199
IA-05,Steve,King,R,R+9,R+8.97,316
KS-01,Jerry,Moran,R,R+23,R+23.13,424
KS-02,Lynn,Jenkins,R,R+9,R+9.39,324
KS-03,Dennis,Moore,D,R+3,R+2.82,231
KS-04,Todd,Tiahrt,R,R+13,R+13.36,362
KY-01,Ed,Whitfield,R,R+16,R+15.53,387
