Dist,First,Last,Party,2015 PVI,2015 Raw PVI,Rank
AL-01,Bradley,Byrne,R,R+14,R+14.46,362
AL-02,Martha,Roby,R,R+16,R+16.06,380
AL-03,Mike,Rogers,R,R+15,R+15.34,375
AL-04,Robert,Aderholt,R,R+28,R+27.71,429
AL-05,Mo,Brooks,R,R+17,R+16.73,385
AL-06,Gary,Palmer,R,R+27,R+27.43,428
AL-07,Terri,Sewell,D,D+20,D+20.25,57
AK-00,Don,Young,R,R+11,R+10.65,315
AZ-01,Ann,Kirkpatrick,D,R+4,R+3.76,232
AZ-02,Martha,McSally,R,R+3,R+3.11,224
AZ-03,Raúl,Grijalva,D,D+9,D+9.15,121
AZ-04,Paul,Gosar,R,R+20,R+19.99,407
AZ-05,Matt,Salmon,R,R+17,R+16.86,386
AZ-06,David,Schweikert,R,R+12,R+12.38,335
AZ-07,Ruben,Gallego,D,D+19,D+18.73,63
AZ-08,Trent,Franks,R,R+15,R+14.64,367
AZ-09,Kyrsten,Sinema,D,EVEN,R+0.17,192
AR-01,Rick,Crawford,R,R+14,R+14.3,360
AR-02,French,Hill,R,R+8,R+8.15,281
AR-03,Steve,Womack,R,R+19,R+19.32,403
AR-04,Bruce,Westerman,R,R+15,R+15.26,373
CA-01,Doug,LaMalfa,R,R+10,R+10.19,311
CA-02,Jared,Huffman,D,D+20,D+19.94,59
CA-03,John,Garamendi,D,D+4,D+3.53,173
CA-04,Tom,McClintock,R,R+11,R+10.91,319
CA-05,Mike,Thompson,D,D+20,D+19.54,61
CA-06,Doris,Matsui,D,D+18,D+18.26,67
CA-07,Ami,Bera,D,EVEN,R+0.19,193
CA-08,Paul,Cook,R,R+9,R+9.46,296
CA-09,Jerry,McNerney,D,D+6,D+6.36,145
CA-10,Jeff,Denham,R,R+1,R+0.68,198
CA-11,Mark,DeSaulnier,D,D+17,D+17.27,71
CA-12,Nancy,Pelosi,D,D+35,D+34.6,11
CA-13,Barbara,Lee,D,D+38,D+38.07,4
CA-14,Jackie,Speier,D,D+23,D+23.48,43
CA-15,Eric,Swalwell,D,D+17,D+16.96,74
CA-16,Jim,Costa,D,D+7,D+7.18,138
CA-17,Mike,Honda,D,D+21,D+20.76,54
CA-18,Anna,Eshoo,D,D+18,D+18.28,66
CA-19,Zoe,Lofgren,D,D+20,D+19.79,60
CA-20,Sam,Farr,D,D+21,D+20.78,53
CA-21,David,Valadao,R,D+3,D+2.6,177
CA-22,Devin,Nunes,R,R+10,R+9.78,304
CA-23,Kevin,McCarthy,R,R+15,R+15.31,374
CA-24,Lois,Capps,D,D+4,D+3.83,168
CA-25,Steve,Knight,R,R+3,R+3.04,223
CA-26,Julia,Brownley,D,D+3,D+3.47,174
CA-27,Judy,Chu,D,D+11,D+11.46,104
CA-28,Adam,Schiff,D,D+20,D+20.2,58
CA-29,Tony,Cárdenas,D,D+26,D+26.07,37
CA-30,Brad,Sherman,D,D+15,D+14.7,85
CA-31,Pete,Aguilar,D,D+6,D+5.93,149
CA-32,Grace,Napolitano,D,D+14,D+13.59,93
CA-33,Ted,Lieu,D,D+11,D+10.55,111
CA-34,Xavier,Becerra,D,D+32,D+31.98,16
CA-35,Norma,Torres,D,D+16,D+15.86,80
CA-36,Raul,Ruiz,D,R+1,R+0.8,199
CA-37,Karen,Bass,D,D+35,D+34.51,12
CA-38,Linda,Sánchez,D,D+13,D+13.05,97
CA-39,Ed,Royce,R,R+4,R+4.17,236
CA-40,Lucille,Roybal-Allard,D,D+30,D+29.97,21
CA-41,Mark,Takano,D,D+10,D+9.92,115
CA-42,Ken,Calvert,R,R+10,R+9.62,301
CA-43,Maxine,Waters,D,D+27,D+26.68,32
CA-44,Janice,Hahn,D,D+33,D+33.18,15
CA-45,Mimi,Walters,R,R+7,R+7.46,273
CA-46,Loretta,Sanchez,D,D+10,D+9.79,116
CA-47,Alan,Lowenthal,D,D+9,D+8.73,125
CA-48,Dana,Rohrabacher,R,R+8,R+7.52,275
CA-49,Darrell,Issa,R,R+5,R+4.78,239
CA-50,Duncan D.,Hunter,R,R+14,R+13.58,353
CA-51,Juan,Vargas,D,D+17,D+17.36,69
CA-52,Scott,Peters,D,D+2,D+1.61,182
CA-53,Susan,Davis,D,D+10,D+10.35,112
CO-01,Diana,DeGette,D,D+18,D+18.49,64
CO-02,Jared,Polis,D,D+8,D+7.75,134
CO-03,Scott,Tipton,R,R+5,R+4.9,240
CO-04,Ken,Buck,R,R+12,R+11.62,325
CO-05,Doug,Lamborn,R,R+13,R+12.83,344
CO-06,Mike,Coffman,R,D+1,D+0.66,185
CO-07,Ed,Perlmutter,D,D+5,D+5.45,155
CT-01,John B.,Larson,D,D+12,D+12.28,102
CT-02,Joe,Courtney,D,D+5,D+5.04,158
CT-03,Rosa,DeLauro,D,D+11,D+10.94,109
CT-04,Jim,Himes,D,D+4,D+4.28,164
CT-05,Elizabeth,Esty,D,D+3,D+2.5,178
DE-00,John,Carney,D,D+8,D+7.85,132
FL-01,Jeff,Miller,R,R+21,R+21.4,414
FL-02,Gwen,Graham,D,R+5,R+5.27,248
FL-03,Ted,Yoho,R,R+14,R+13.98,356
FL-04,Ander,Crenshaw,R,R+19,R+19.13,400
FL-05,Corrine,Brown,D,D+21,D+21.33,50
FL-06,Ron,DeSantis,R,R+10,R+9.6,300
FL-07,John,Mica,R,R+4,R+4.44,237
FL-08,Bill,Posey,R,R+9,R+9.33,294
FL-09,Alan,Grayson,D,D+9,D+9.17,120
FL-10,Daniel,Webster,R,R+6,R+6.06,261
FL-11,Rich,Nugent,R,R+11,R+11.05,321
FL-12,Gus,Bilirakis,R,R+7,R+6.6,267
FL-13,David,Jolly,R,R+1,R+1.36,206
FL-14,Kathy,Castor,D,D+13,D+13.32,94
FL-15,Dennis,Ross,R,R+6,R+5.96,258
FL-16,Vern,Buchanan,R,R+6,R+6.27,263
FL-17,Tom,Rooney,R,R+10,R+10,308
FL-18,Patrick,Murphy,D,R+4,R+3.59,229
FL-19,Curt,Clawson,R,R+12,R+12.46,337
