Dist,First,Last,Party,2017 PVI,2017 Raw PVI,Rank
AL-01,Bradley,Byrne,R,R+16,R+15.72,361
AL-02,Martha,Roby,R,R+17,R+16.88,369
AL-03,Mike,Rogers,R,R+17,R+17.32,373
AL-04,Robert,Aderholt,R,R+32,R+31.9,433
AL-05,Mo,Brooks,R,R+18,R+18.02,378
AL-06,Gary,Palmer,R,R+25,R+24.82,417
AL-07,Terri,Sewell,D,D+20,D+20.17,68
AK-AL,Don,Young,R,R+9,R+9.44,296
AZ-01,Tom,O'Halleran,D,R+2,R+2.07,212
AZ-02,Martha,McSally,R,EVEN,D+0.42,193
AZ-03,Raúl,Grijalva,D,D+14,D+13.6,103
AZ-04,Paul,Gosar,R,R+22,R+21.74,409
AZ-05,Andy,Biggs,R,R+13,R+13.45,341
AZ-06,David,Schweikert,R,R+8,R+7.9,270
AZ-07,Ruben,Gallego,D,D+24,D+23.93,53
AZ-08,Trent,Franks,R,R+13,R+12.81,329
AZ-09,Kyrsten,Sinema,D,D+6,D+5.79,161
AR-01,Rick,Crawford,R,R+18,R+18.21,381
AR-02,French,Hill,R,R+7,R+7.11,258
AR-03,Steve,Womack,R,R+18,R+18.44,382
AR-04,Bruce,Westerman,R,R+18,R+17.54,374
CA-01,Doug,LaMalfa,R,R+11,R+11.37,314
CA-02,Jared,Huffman,D,D+23,D+22.7,58
CA-03,John,Garamendi,D,D+5,D+5.17,167
CA-04,Tom,McClintock,R,R+10,R+9.61,299
CA-05,Mike,Thompson,D,D+22,D+22.12,61
CA-06,Doris,Matsui,D,D+22,D+21.85,62
CA-07,Ami,Bera,D,D+4,D+3.79,173
CA-08,Paul,Cook,R,R+9,R+9.13,291
CA-09,Jerry,McNerney,D,D+8,D+8.3,138
CA-10,Jeff,Denham,R,EVEN,D+0.33,195
CA-11,Mark,DeSaulnier,D,D+23,D+22.95,57
CA-12,Nancy,Pelosi,D,D+39,D+38.58,5
CA-13,Barbara,Lee,D,D+41,D+40.93,3
CA-14,Jackie,Speier,D,D+28,D+28.29,34
CA-15,Eric,Swalwell,D,D+22,D+21.78,63
CA-16,Jim,Costa,D,D+10,D+9.71,128
CA-17,Ro,Khanna,D,D+26,D+25.85,43
CA-18,Anna,Eshoo,D,D+25,D+25.03,47
CA-19,Zoe,Lofgren,D,D+25,D+24.81,49
CA-20,Jimmy,Panetta,D,D+23,D+23.32,55
CA-21,David,Valadao,R,D+6,D+6.24,159
CA-22,Devin,Nunes,R,R+7,R+7,257
CA-23,Kevin,McCarthy,R,R+13,R+13.36,340
CA-24,Salud,Carbajal,D,D+8,D+8.22,139
CA-25,Steve,Knight,R,D+1,D+1.11,188
CA-26,Julia,Brownley,D,D+9,D+8.71,135
CA-27,Judy,Chu,D,D+17,D+17.17,85
CA-28,Adam,Schiff,D,D+24,D+24.09,52
CA-29,Tony,Cárdenas,D,D+30,D+30.09,27
CA-30,Brad,Sherman,D,D+20,D+20.11,69
CA-31,Pete,Aguilar,D,D+9,D+9.18,130
CA-32,Grace,Napolitano,D,D+18,D+18.33,78
CA-33,Ted,Lieu,D,D+18,D+18.17,79
CA-34,Xavier,Becerra,D,D+37,D+36.51,10
CA-35,Norma,Torres,D,D+20,D+19.53,71
CA-36,Raul,Ruiz,D,D+3,D+2.51,178
CA-37,Karen,Bass,D,D+38,D+37.84,8
CA-38,Linda,Sánchez,D,D+18,D+18.47,76
CA-39,Ed,Royce,R,D+2,D+1.63,182
CA-40,Lucille,Roybal-Allard,D,D+34,D+34.36,16
CA-41,Mark,Takano,D,D+13,D+13,105
CA-42,Ken,Calvert,R,R+8,R+7.99,272
CA-43,Maxine,Waters,D,D+30,D+30.41,26
CA-44,Nanette,Barragán,D,D+36,D+35.56,13
CA-45,Mimi,Walters,R,R+1,R+0.66,200
CA-46,Lou,Correa,D,D+17,D+17.19,84
CA-47,Alan,Lowenthal,D,D+14,D+14.21,100
CA-48,Dana,Rohrabacher,R,R+2,R+2.14,214
CA-49,Darrell,Issa,R,D+1,D+0.82,191
CA-50,Duncan D.,Hunter,R,R+10,R+10.22,307
CA-51,Juan,Vargas,D,D+23,D+23.27,56
CA-52,Scott,Peters,D,D+9,D+8.53,136
CA-53,Susan,Davis,D,D+16,D+15.79,92
CO-01,Diana,DeGette,D,D+22,D+22.42,60
CO-02,Jared,Polis,D,D+10,D+9.78,127
CO-03,Scott,Tipton,R,R+7,R+6.95,255
CO-04,Ken,Buck,R,R+13,R+13.26,336
CO-05,Doug,Lamborn,R,R+14,R+13.93,345
CO-06,Mike,Coffman,R,D+3,D+2.98,176
CO-07,Ed,Perlmutter,D,D+6,D+5.54,163
CT-01,John B.,Larson,D,D+11,D+11.22,114
CT-02,Joe,Courtney,D,D+2,D+1.51,184
CT-03,Rosa,DeLauro,D,D+8,D+8.03,140
CT-04,Jim,Himes,D,D+9,D+9.05,132
CT-05,Elizabeth,Esty,D,D+1,D+1.32,186
DE-AL,Lisa,Blunt Rochester,D,D+6,D+5.53,164
FL-01,Matt,Gaetz,R,R+22,R+21.61,406
FL-02,Neal,Dunn,R,R+19,R+19.05,389
FL-03,Ted,Yoho,R,R+9,R+9.4,295
FL-04,John,Rutherford,R,R+16,R+16.41,366
FL-05,Al,Lawson,D,D+12,D+12.03,110
FL-06,Ron,DeSantis,R,R+9,R+8.69,282
FL-07,Stephanie,Murphy,D,D+2,D+1.54,183
FL-08,Bill,Posey,R,R+11,R+11.25,313
FL-09,Darren,Soto,D,D+5,D+5.14,168
FL-10,Val,Demings,D,D+12,D+11.92,111
FL-11,Daniel,Webster,R,R+16,R+16.24,363
FL-12,Gus,Bilirakis,R,R+10,R+9.52,297
FL-13,Charlie,Crist,D,D+1,D+1.28,187
FL-14,Kathy,Castor,D,D+8,D+7.83,142
FL-15,Dennis,Ross,R,R+6,R+5.87,243
FL-16,Vern,Buchanan,R,R+7,R+6.58,251
FL-17,Tom,Rooney,R,R+14,R+13.83,344
FL-18,Brian,Mast,R,R+5,R+5.34,241
FL-19,Francis,Rooney,R,R+13,R+12.59,328
FL-20,Alcee,Hastings,D,D+31,D+30.57,24
FL-21,Lois,Frankel,D,D+9,D+8.88,134
FL-22,Ted,Deutch,D,D+6,D+6.38,157
FL-23,Debbie,Wasserman Schultz,D,D+12,D+11.65,112
FL-24,Frederica,Wilson,D,D+33,D+33.33,20
FL-25,Mario,Díaz-Balart,R,R+3,R+3.28,223
FL-26,Carlos,Curbelo,R,D+6,D+6.39,156
FL-27,Ileana,Ros-Lehtinen,R,D+7,D+7.1,150
GA-01,Buddy,Carter,R,R+9,R+8.94,287
GA-02,Sanford,Bishop,D,D+5,D+5.39,165
GA-03,Drew,Ferguson,R,R+18,R+17.68,376
GA-04,Hank,Johnson,D,D+25,D+25.12,46
GA-05,John,Lewis,D,D+35,D+35.47,14
GA-06,Tom,Price,R,R+5,R+4.92,239
GA-07,Rob,Woodall,R,R+7,R+6.59,252
GA-08,Austin,Scott,R,R+15,R+15.47,356
GA-09,Doug,Collins,R,R+31,R+31.21,431
GA-10,Jody,Hice,R,R+14,R+14.49,349
GA-11,Barry,Loudermilk,R,R+16,R+15.65,360
GA-12,Rick,Allen,R,R+9,R+9.02,288
GA-13,David,Scott,D,D+21,D+20.7,65
GA-14,Tom,Graves,R,R+28,R+27.84,426
HI-01,Colleen,Hanabusa,D,D+17,D+16.86,87
HI-02,Tulsi,Gabbard,D,D+18,D+17.5,83
ID-01,Raúl,Labrador,R,R+22,R+21.67,407
ID-02,Mike,Simpson,R,R+16,R+16.3,364
IL-01,Bobby,Rush,D,D+27,D+26.81,41
IL-02,Robin,Kelly,D,D+29,D+29.24,31
IL-03,Dan,Lipinski,D,D+7,D+6.53,155
IL-04,Luis,Gutiérrez,D,D+34,D+33.95,19
IL-05,Mike,Quigley,D,D+22,D+21.56,64
IL-06,Peter,Roskam,R,EVEN,D+0.39,194
IL-07,Danny K.,Davis,D,D+39,D+38.53,6
IL-08,Raja,Krishnamoorthi,D,D+9,D+9.41,129
IL-09,Jan,Schakowsky,D,D+21,D+20.54,67
IL-10,Brad,Schneider,D,D+12,D+12.4,107
IL-11,Bill,Foster,D,D+10,D+10.18,122
IL-12,Mike,Bost,R,R+7,R+6.99,256
IL-13,Rodney,Davis,R,R+3,R+3.47,224
IL-14,Randy,Hultgren,R,R+4,R+4.19,228
IL-15,John,Shimkus,R,R+23,R+23.37,411
IL-16,Adam,Kinzinger,R,R+9,R+9.14,292
IL-17,Cheri,Bustos,D,D+1,D+0.53,192
IL-18,Darin,LaHood,R,R+15,R+15.27,353
IN-01,Pete,Visclosky,D,D+7,D+6.61,154
IN-02,Jackie,Walorski,R,R+12,R+12.19,323
IN-03,Jim,Banks,R,R+19,R+18.52,384
IN-04,Todd,Rokita,R,R+18,R+17.93,377
IN-05,Susan,Brooks,R,R+8,R+8.15,274
IN-06,Luke,Messer,R,R+20,R+20.2,396
IN-07,André,Carson,D,D+11,D+11.18,115
IN-08,Larry,Buchson,R,R+17,R+16.96,371
IN-09,Trey,Hollingsworth,R,R+14,R+14.02,346
IA-01,Rod,Blum,R,R+1,R+1.01,201
IA-02,Dave,Loebsack,D,R+1,R+1.31,202
IA-03,David,Young,R,R+2,R+2.2,216
IA-04,Steve,King,R,R+13,R+13.22,335
KS-01,Roger,Marshall,R,R+25,R+24.77,416
KS-02,Lynn,Jenkins,R,R+10,R+10.41,308
KS-03,Kevin,Yoder,R,R+2,R+2.05,211
KS-04,Mike,Pompeo,R,R+16,R+15.54,357
KY-01,James,Comer,R,R+25,R+24.56,414
KY-02,Brett,Guthrie,R,R+21,R+20.64,399
KY-03,John,Yarmuth,D,D+6,D+6.23,160
KY-04,Thomas,Massie,R,R+19,R+19.22,390
KY-05,Hal,Rogers,R,R+32,R+31.92,434
KY-06,Andy,Barr,R,R+9,R+9.15,294
LA-01,Steve,Scalise,R,R+23,R+23.46,412
LA-02,Cedric,Richmond,D,D+26,D+25.66,44
LA-03,Clay,Higgins,R,R+20,R+20.43,398
LA-04,Mike,Johnson,R,R+13,R+13.03,332
LA-05,Ralph,Abraham,R,R+16,R+15.58,358
LA-06,Garret,Graves,R,R+19,R+18.91,388
ME-01,Chellie,Pingree,D,D+7,D+7.37,147
ME-02,Bruce,Poliquin,R,R+4,R+4.4,231
MD-01,Andy,Harris,R,R+14,R+14.2,347
MD-02,Dutch,Ruppersberger,D,D+10,D+10.48,118
MD-03,John,Sarbanes,D,D+14,D+14.07,101
MD-04,Anthony G.,Brown,D,D+28,D+28.02,36
MD-05,Steny,Hoyer,D,D+16,D+16.18,88
MD-06,John,Delaney,D,D+6,D+6.27,158
MD-07,Elijah,Cummings,D,D+26,D+26.05,42
MD-08,Jamie,Raskin,D,D+15,D+15.21,96
MA-01,Richard,Neal,D,D+11,D+10.72,117
MA-02,Jim,McGovern,D,D+9,D+8.97,133
MA-03,Niki,Tsongas,D,D+10,D+9.79,126
MA-04,Joe,Kennedy III,D,D+10,D+10.31,120
MA-05,Katherine,Clark,D,D+20,D+19.97,70
MA-06,Seth,Moulton,D,D+7,D+7.15,149
MA-07,Mike,Capuano,D,D+35,D+35.37,15
MA-08,Stephen F.,Lynch,D,D+11,D+11.12,116
MA-09,Bill,Keating,D,D+5,D+4.5,170
MI-01,Jack,Bergman,R,R+11,R+10.82,310
MI-02,Bill,Huizenga,R,R+10,R+9.95,304
MI-03,Justin,Amash,R,R+6,R+6.04,246
MI-04,John,Moolenaar,R,R+12,R+12.22,324
MI-05,Dan,Kildee,D,D+3,D+3.18,175
MI-06,Fred,Upton,R,R+5,R+4.85,238
MI-07,Tim,Walberg,R,R+9,R+8.5,280
MI-08,Mike,Bishop,R,R+4,R+4.39,230
MI-09,Sander,Levin,D,D+4,D+3.65,174
MI-10,Paul,Mitchell,R,R+15,R+15.43,355
MI-11,Dave,Trott,R,R+4,R+3.74,227
MI-12,Debbie,Dingell,D,D+13,D+13.27,104
MI-13,John,Conyers,D,D+31,D+31.05,23
MI-14,Brenda,Lawrence,D,D+30,D+29.95,28
MN-01,Tim,Walz,D,R+7,R+7.25,261
MN-02,Jason,Lewis,R,R+2,R+1.81,210
