Dist,First,Last,Party,2017 PVI,2017 Raw PVI,Rank
MN-03,Erik,Paulsen,R,D+3,D+2.63,177
MN-04,Betty,McCollum,D,D+15,D+14.73,97
MN-05,Keith,Ellison,D,D+27,D+27.49,38
MN-06,Tom,Emmer,R,R+14,R+13.68,343
MN-07,Collin,Peterson,D,R+15,R+14.99,352
MN-08,Rick,Nolan,D,R+7,R+6.94,254
MS-01,Trent,Kelly,R,R+17,R+17.11,372
MS-02,Bennie,Thompson,D,D+14,D+13.66,102
MS-03,Gregg,Harper,R,R+13,R+13.33,338
MS-04,Steven,Palazzo,R,R+22,R+21.73,408
MO-01,Lacy,Clay,D,D+29,D+29.16,32
MO-02,Ann,Wagner,R,R+7,R+7.4,263
MO-03,Blaine,Luetkemeyer,R,R+20,R+20.03,394
MO-04,Vicky,Hartzler,R,R+19,R+18.74,386
MO-05,Emanuel,Cleaver,D,D+7,D+7.02,151
MO-06,Sam,Graves,R,R+17,R+16.94,370
MO-07,Billy,Long,R,R+24,R+24.1,413
MO-08,Jason,Smith,R,R+27,R+26.75,424
MT-AL,Ryan,Zinke,R,R+11,R+11.42,315
NE-01,Jeff,Fortenberry,R,R+12,R+11.92,322
NE-02,Don,Bacon,R,R+3,R+3.15,220
NE-03,Adrian,Smith,R,R+28,R+28.43,429
NV-01,Dina,Titus,D,D+14,D+14.45,99
NV-02,Mark,Amodei,R,R+7,R+7.41,264
NV-03,Jackie,Rosen,D,R+2,R+1.62,206
NV-04,Ruben,Kihuen,D,D+2,D+2.01,181
NH-01,Carol,Shea-Porter,D,R+2,R+1.75,209
NH-02,Annie,Kuster,D,D+1,D+0.85,189
NJ-01,Donald,Norcross,D,D+12,D+12.11,108
NJ-02,Frank,LoBiondo,R,R+2,R+2.09,213
NJ-03,Tom,MacArthur,R,R+3,R+3.15,221
NJ-04,Chris,Smith,R,R+8,R+8.26,276
NJ-05,Josh,Gottheimer,D,R+2,R+2.14,215
NJ-06,Frank,Pallone,D,D+8,D+7.75,143
NJ-07,Leonard,Lance,R,R+2,R+1.67,207
NJ-08,Albio,Sires,D,D+27,D+26.84,40
NJ-09,Bill,Pascrell,D,D+15,D+15.41,95
NJ-10,Donald,Payne Jr.,D,D+36,D+35.99,11
NJ-11,Rodney,Frelinghuysen,R,R+2,R+2.4,217
NJ-12,Bonnie,Watson Coleman,D,D+16,D+15.86,90
NM-01,Michelle,Lujan Grisham,D,D+8,D+7.88,141
NM-02,Steve,Pearce,R,R+6,R+6.46,249
NM-03,Ben Ray,Luján,D,D+8,D+7.55,146
NY-01,Lee,Zeldin,R,R+6,R+6.02,245
NY-02,Peter T.,King,R,R+4,R+4.26,229
NY-03,Tom,Suozzi,D,D+1,D+1.39,185
NY-04,Kathleen,Rice,D,D+4,D+3.94,172
NY-05,Gregory,Meeks,D,D+37,D+36.53,9
NY-06,Grace,Meng,D,D+16,D+16.07,89
NY-07,Nydia,Velázquez,D,D+38,D+38.06,7
NY-08,Hakeem,Jeffries,D,D+36,D+35.81,12
NY-09,Yvette,Clarke,D,D+34,D+34.11,18
NY-10,Jerry,Nadler,D,D+28,D+27.83,37
NY-11,Dan,Donovan,R,R+5,R+4.56,234
NY-12,Carolyn,Maloney,D,D+33,D+32.76,21
NY-13,Adriano,Espaillat,D,D+43,D+43.35,2
NY-14,Joe,Crowley,D,D+29,D+28.83,33
NY-15,José E.,Serrano,D,D+44,D+44.2,1
NY-16,Eliot,Engel,D,D+25,D+24.98,48
NY-17,Nita,Lowey,D,D+8,D+8.38,137
NY-18,Sean Patrick,Maloney,D,R+2,R+1.59,205
NY-19,John,Faso,R,R+3,R+3.24,222
NY-20,Paul,Tonko,D,D+7,D+6.63,153
NY-21,Elise,Stefanik,R,R+6,R+6.08,247
NY-22,Claudia,Tenney,R,R+8,R+7.56,267
NY-23,Tom,Reed,R,R+7,R+7.4,262
NY-24,John,Katko,R,D+2,D+2.16,180
NY-25,Louise,Slaughter,D,D+8,D+7.63,145
NY-26,Brian,Higgins,D,D+10,D+10.15,123
NY-27,Chris,Collins,R,R+13,R+12.57,327
NC-01,G. K.,Butterfield,D,D+18,D+17.7,81
NC-02,George,Holding,R,R+7,R+7.23,260
NC-03,Walter B.,Jones Jr.,R,R+13,R+12.83,330
NC-04,David,Price,D,D+18,D+18.36,77
NC-05,Virginia,Foxx,R,R+10,R+9.91,303
NC-06,Mark,Walker,R,R+9,R+8.59,281
NC-07,David,Rouzer,R,R+10,R+9.89,302
NC-08,Richard,Hudson,R,R+8,R+8.38,278
NC-09,Robert,Pittenger,R,R+7,R+7.5,265
NC-10,Patrick,McHenry,R,R+13,R+12.98,331
NC-11,Mark,Meadows,R,R+15,R+15.34,354
NC-12,Alma,Adams,D,D+19,D+18.91,74
NC-13,Ted,Budd,R,R+6,R+5.77,242
ND-AL,Kevin,Cramer,R,R+19,R+18.71,385
OH-01,Steve,Chabot,R,R+5,R+4.71,236
OH-02,Brad,Wenstrup,R,R+9,R+9.05,289
OH-03,Joyce,Beatty,D,D+19,D+19.1,73
OH-04,Jim,Jordan,R,R+16,R+16.38,365
OH-05,Bob,Latta,R,R+13,R+12.56,326
OH-06,Bill,Johnson,R,R+20,R+19.56,392
OH-07,Bob,Gibbs,R,R+14,R+14.22,348
OH-08,Warren,Davidson,R,R+18,R+18.08,380
OH-09,Marcy,Kaptur,D,D+12,D+12.07,109
OH-10,Mike,Turner,R,R+4,R+4.43,232
OH-11,Marcia,Fudge,D,D+32,D+31.54,22
OH-12,Pat,Tiberi,R,R+7,R+7.18,259
OH-13,Tim,Ryan,D,D+5,D+4.65,169
OH-14,David,Joyce,R,R+6,R+6.25,248
OH-15,Steve,Stivers,R,R+8,R+8.22,275
OH-16,Jim,Renacci,R,R+9,R+8.9,285
OK-01,Jim,Bridenstine,R,R+17,R+16.73,368
OK-02,Markwayne,Mullin,R,R+25,R+25.4,420
OK-03,Frank,Lucas,R,R+28,R+28.26,428
OK-04,Tom,Cole,R,R+20,R+20.41,397
OK-05,Steve,Russell,R,R+9,R+9.14,293
OR-01,Suzanne,Bonamici,D,D+10,D+10.2,121
OR-02,Greg,Walden,R,R+12,R+11.53,318
OR-03,Earl,Blumenauer,D,D+24,D+24.22,51
OR-04,Peter,DeFazio,D,EVEN,R+0.39,198
OR-05,Kurt,Schrader,D,D+1,D+0.83,190
PA-01,Bob,Brady,D,D+30,D+30.43,25
PA-02,Dwight,Evans,D,D+41,D+40.61,4
PA-03,Mike,Kelly,R,R+13,R+13.08,334
PA-04,Scott,Perry,R,R+12,R+11.72,319
PA-05,Glenn,Thompson,R,R+15,R+14.61,350
PA-06,Ryan,Costello,R,R+1,R+1.45,204
PA-07,Pat,Meehan,R,R+1,R+0.64,199
PA-08,Mike,Fitzpatrick,R,R+1,R+1.43,203
PA-09,Bill,Shuster,R,R+21,R+21.22,402
PA-10,Tom,Marino,R,R+18,R+18.05,379
PA-11,Lou,Barletta,R,R+12,R+11.8,320
PA-12,Keith,Rothfus,R,R+11,R+11.49,316
PA-13,Brendan,Boyle,D,D+16,D+15.84,91
PA-14,Mike,Doyle,D,D+17,D+17.17,86
PA-15,Charlie,Dent,R,R+5,R+4.63,235
PA-16,Lloyd,Smucker,R,R+5,R+4.78,237
PA-17,Matt,Cartwright,D,R+4,R+3.71,226
PA-18,Tim,Murphy,R,R+11,R+11.06,311
RI-01,David,Cicilline,D,D+13,D+12.97,106
RI-02,James,Langevin,D,D+4,D+4.16,171
SC-01,Mark,Sanford,R,R+9,R+8.73,283
SC-02,Joe,Wilson,R,R+12,R+11.9,321
SC-03,Jeff,Duncan,R,R+20,R+20.07,395
SC-04,Trey,Gowdy,R,R+15,R+14.82,351
SC-05,Mick,Mulvaney,R,R+10,R+10.05,306
SC-06,Jim,Clyburn,D,D+19,D+19.11,72
SC-07,Tom,Rice,R,R+10,R+9.83,301
SD-AL,Kristi,Noem,R,R+16,R+15.61,359
TN-01,Phil,Roe,R,R+29,R+29.49,430
TN-02,Jimmy,Duncan,R,R+20,R+19.96,393
TN-03,Chuck,Fleischmann,R,R+19,R+18.75,387
TN-04,Scott,DesJarlais,R,R+21,R+21.46,404
TN-05,Jim,Cooper,D,D+8,D+7.64,144
TN-06,Diane,Black,R,R+25,R+25.41,421
TN-07,Marsha,Blackburn,R,R+21,R+20.87,400
TN-08,David,Kustoff,R,R+19,R+19.34,391
TN-09,Steve,Cohen,D,D+28,D+28.21,35
TX-01,Louie,Gohmert,R,R+25,R+24.94,418
TX-02,Ted,Poe,R,R+8,R+8.46,279
TX-03,Sam,Johnson,R,R+11,R+10.72,309
TX-04,John,Ratcliffe,R,R+28,R+28.24,427
TX-05,Jeb,Hensnarling,R,R+16,R+16.12,362
TX-06,Joe,Barton,R,R+8,R+8.28,277
TX-07,John,Culberson,R,R+3,R+3.5,225
TX-08,Kevin,Brady,R,R+27,R+27.27,425
TX-09,Al,Green,D,D+29,D+29.45,30
TX-10,Michael,McCaul,R,R+8,R+7.52,266
TX-11,Mike,Conaway,R,R+32,R+31.6,432
TX-12,Kay,Granger,R,R+18,R+17.63,375
TX-13,Mac,Thornberry,R,R+34,R+33.57,435
TX-14,Randy,Weber,R,R+11,R+11.5,317
TX-15,Vicente,Gonzalez,D,D+7,D+7.16,148
TX-16,Beto,O'Rourke,D,D+18,D+18.5,75
TX-17,Bill,Flores,R,R+11,R+11.1,312
TX-18,Sheila,Jackson Lee,D,D+27,D+27.39,39
TX-19,Jodey,Arrington,R,R+27,R+26.64,423
TX-20,Joaquin,Castro,D,D+12,D+11.62,113
TX-21,Lamar,Smith,R,R+8,R+8.07,273
TX-22,Pete,Olson,R,R+8,R+7.62,268
TX-23,Will,Hurd,R,EVEN,R+0.3,197
TX-24,Kenny,Marchant,R,R+7,R+6.64,253
TX-25,Roger,Williams,R,R+10,R+10,305
TX-26,Michael C.,Burgess,R,R+16,R+16.46,367
TX-27,Blake,Farenthold,R,R+13,R+13.3,337
TX-28,Henry,Cuellar,D,D+9,D+9.11,131
TX-29,Gene,Green,D,D+21,D+20.57,66
TX-30,Eddie Bernice,Johnson,D,D+30,D+29.65,29
TX-31,John,Carter,R,R+9,R+9.12,290
TX-32,Pete,Sessions,R,R+3,R+2.56,218
TX-33,Marc,Veasey,D,D+23,D+23.41,54
TX-34,Filemon,Vela Jr.,D,D+10,D+9.84,125
TX-35,Lloyd,Doggett,D,D+16,D+15.63,94
TX-36,Brian,Babin,R,R+25,R+25.36,419
UT-01,Rob,Bishop,R,R+23,R+22.84,410
UT-02,Chris,Stewart,R,R+13,R+13.07,333
UT-03,Jason,Chaffetz,R,R+22,R+21.57,405
UT-04,Mia,Love,R,R+10,R+9.59,298
VT-AL,Peter,Welch,D,D+15,D+14.63,98
VA-01,Rob,Wittman,R,R+8,R+7.76,269
VA-02,Scott,Taylor,R,R+3,R+2.95,219
VA-03,Bobby,Scott,D,D+16,D+15.63,93
VA-04,Donald,McEachin,D,D+10,D+9.96,124
VA-05,Tom,Garrett,R,R+7,R+6.52,250
VA-06,Bob,Goodlatte,R,R+14,R+13.62,342
VA-07,Dave,Brat,R,R+5,R+5.26,240
VA-08,Don,Beyer,D,D+24,D+24.23,50
VA-09,Morgan,Griffith,R,R+21,R+21.11,401
VA-10,Barbara,Comstock,R,D+2,D+2.48,179
VA-11,Gerry,Connolly,D,D+18,D+17.64,82
WA-01,Suzan,DelBene,D,D+7,D+6.74,152
WA-02,Rick,Larsen,D,D+10,D+10.43,119
WA-03,Jaime,Herrera Beutler,R,R+5,R+4.54,233
WA-04,Dan,Newhouse,R,R+13,R+13.34,339
WA-05,Cathy,McMorris Rodgers,R,R+8,R+7.94,271
WA-06,Derek,Kilmer,D,D+6,D+5.68,162
WA-07,Pramila,Jayapal,D,D+34,D+34.3,17
WA-08,Dave,Reichert,R,EVEN,D+0.1,196
WA-09,Adam,Smith,D,D+22,D+22.44,59
WA-10,Denny,Heck,D,D+5,D+5.28,166
WV-01,David,McKinley,R,R+21,R+21.27,403
WV-02,Alex,Mooney,R,R+18,R+18.5,383
WV-03,Evan,Jenkins,R,R+25,R+24.73,415
WI-01,Paul,Ryan,R,R+6,R+5.96,244
WI-02,Mark,Pocan,D,D+18,D+18.03,80
WI-03,Ron,Kind,D,R+2,R+1.72,208
WI-04,Gwen,Moore,D,D+26,D+25.6,45
WI-05,Jim,Sensenbrenner,R,R+12,R+12.27,325
WI-06,Glenn,Grothman,R,R+9,R+8.93,286
WI-07,Sean,Duffy,R,R+10,R+9.78,300
WI-08,Mike,Gallagher,R,R+9,R+8.75,284
WY-AL,Liz,Cheney,R,R+26,R+25.9,422
