Dist,First,Last,Party,2021 PVI,2021 Raw PVI,Rank
AL-01,Jerry,Carl,R,R+17,R+16.51,360
AL-02,Barry,Moore,R,R+17,R+16.94,363
AL-03,Mike,Rogers,R,R+18,R+18.16,376
AL-04,Robert,Aderholt,R,R+34,R+34.03,435
AL-05,Mo,Brooks,R,R+17,R+16.64,362
AL-06,Gary,Palmer,R,R+21,R+21.14,397
AL-07,Terri,Sewell,D,D+19,D+19.27,67
AK-AL,Don,Young,R,R+8,R+8.02,285
AZ-01,Tom,O'Halleran,D,R+1,R+1.46,220
AZ-02,Ann,Kirkpatrick,D,D+3,D+2.72,182
AZ-03,Raúl,Grijalva,D,D+12,D+12.25,110
AZ-04,Paul,Gosar,R,R+21,R+21.48,402
AZ-05,Andy,Biggs,R,R+10,R+10.31,304
AZ-06,David,Schweikert,R,R+5,R+4.86,252
AZ-07,Ruben,Gallego,D,D+23,D+23.17,52
AZ-08,Debbie,Lesko,R,R+11,R+10.8,315
AZ-09,Greg,Stanton,D,D+9,D+9.16,134
AR-01,Rick,Crawford,R,R+22,R+22.45,407
AR-02,French,Hill,R,R+7,R+6.81,270
AR-03,Steve,Womack,R,R+17,R+16.55,361
AR-04,Bruce,Westerman,R,R+21,R+20.95,396
CA-01,Doug,LaMalfa,R,R+10,R+10.5,310
CA-02,Jared,Huffman,D,D+23,D+23.31,51
CA-03,John,Garamendi,D,D+4,D+4.41,167
CA-04,Tom,McClintock,R,R+8,R+7.7,279
CA-05,Mike,Thompson,D,D+22,D+22.13,58
CA-06,Doris,Matsui,D,D+21,D+20.55,65
CA-07,Ami,Bera,D,D+5,D+4.86,165
CA-08,Jay,Obernolte,R,R+8,R+8.01,284
CA-09,Jerry,McNerney,D,D+7,D+7.38,150
CA-10,Josh,Harder,D,EVEN,R+0.47,214
CA-11,Mark,DeSaulnier,D,D+24,D+23.93,47
CA-12,Nancy,Pelosi,D,D+37,D+36.64,5
CA-13,Barbara,Lee,D,D+39,D+39.33,2
CA-14,Jackie,Speier,D,D+28,D+27.58,30
CA-15,Eric,Swalwell,D,D+21,D+21.36,61
CA-16,Jim,Costa,D,D+9,D+8.52,140
CA-17,Ro,Khanna,D,D+23,D+23.05,53
CA-18,Anna,Eshoo,D,D+26,D+26.26,36
CA-19,Zoe,Lofgren,D,D+21,D+20.94,63
CA-20,Jimmy,Panetta,D,D+23,D+22.61,56
CA-21,David,Valadao,R,D+4,D+4.23,169
CA-22,Devin,Nunes,R,R+5,R+5.3,256
CA-23,Kevin,McCarthy,R,R+11,R+11.3,323
CA-24,Salud,Carbajal,D,D+10,D+9.88,131
CA-25,Mike,Garcia,R,D+3,D+2.78,180
CA-26,Julia,Brownley,D,D+10,D+10.46,127
CA-27,Judy,Chu,D,D+17,D+16.9,77
CA-28,Adam,Schiff,D,D+21,D+21.29,62
CA-29,Tony,Cárdenas,D,D+25,D+25.42,40
CA-30,Brad,Sherman,D,D+19,D+18.75,71
CA-31,Pete,Aguilar,D,D+8,D+8.46,142
