Dist,First,Last,Party,2003 PVI,2003 Raw PVI,Rank
AL-01,Jo,Bonner,R,R+12,R+11.99,355
AL-02,Terry,Everett,R,R+12,R+12.16,358
AL-03,Mike,Rogers,R,R+3,R+2.81,226
AL-04,Robert,Aderholt,R,R+12,R+12.14,357
AL-05,Robert E.,Cramer,D,R+5,R+5.49,269
AL-06,Spencer,Bachus,R,R+25,R+24.98,432
AL-07,Artur,Davis,D,D+17,D+16.58,62
AK-00,Don,Young,R,R+18,R+18.2,409
AZ-01,Rick,Renzi,R,R+3,R+2.88,227
AZ-02,Trent,Franks,R,R+8,R+8.32,317
AZ-03,John,Shadegg,R,R+6,R+6.39,288
AZ-04,Ed,Pastor,D,D+14,D+14.19,73
AZ-05,J. D.,Hayworth,R,R+6,R+5.71,273
AZ-06,Jeff,Flake,R,R+12,R+12.4,363
AZ-07,Raúl,Grijalva,D,D+10,D+9.79,105
AZ-08,Jim,Kolbe,R,R+2,R+2.27,215
AR-01,Robert Marion,Berry,D,D+1,D+0.58,185
AR-02,Vic,Snyder,D,R+1,R+1,204
AR-03,John,Boozman,R,R+12,R+11.84,352
AR-04,Mike,Ross,D,EVEN,D+0.13,192
CA-01,Mike,Thompson,D,D+7,D+6.88,132
CA-02,Wally,Herger,R,R+15,R+14.99,386
CA-03,Doug,Ose,R,R+7,R+7.3,299
CA-04,John,Doolitte,R,R+13,R+12.51,366
CA-05,Bob,Matsui,D,D+13,D+13.06,81
CA-06,Lynn,Woolsey,D,D+17,D+16.98,59
CA-07,George,Miller,D,D+18,D+18.11,56
CA-08,Nancy,Pelosi,D,D+34,D+33.65,14
CA-09,Barbara,Lee,D,D+35,D+35.13,8
CA-10,Ellen,Tauscher,D,D+7,D+6.96,130
CA-11,Richard,Pombo,R,R+4,R+4.47,254
CA-12,Tom,Lantos,D,D+20,D+19.74,45
CA-13,Pete,Stark,D,D+19,D+19.12,47
CA-14,Anna,Eshoo,D,D+14,D+14.44,72
CA-15,Mike,Honda,D,D+12,D+12.22,87
CA-16,Zoe,Lofgren,D,D+15,D+15.47,64
CA-17,Sam,Farr,D,D+14,D+14.19,74
CA-18,Dennis,Cardoza,D,D+4,D+4.21,160
CA-19,George,Radanovich,R,R+10,R+10,333
CA-20,Cal,Dooley,D,D+5,D+5.38,141
CA-21,Devin,Nunes,R,R+13,R+12.52,367
CA-22,Bill,Thomas,R,R+16,R+16.07,394
CA-23,Lois,Capps,D,D+7,D+6.69,135
CA-24,Elton,Gallegly,R,R+6,R+5.86,277
CA-25,Buck,McKeon,R,R+7,R+7.28,298
CA-26,David,Dreier,R,R+5,R+5.09,263
CA-27,Brad,Sherman,D,D+12,D+12.14,88
CA-28,Howard,Berman,D,D+25,D+25.08,31
CA-29,Adam,Schiff,D,D+10,D+9.85,104
CA-30,Henry,Waxman,D,D+21,D+20.75,43
CA-31,Xavier,Becerra,D,D+30,D+30.13,23
CA-32,Hilda,Solis,D,D+18,D+17.86,57
CA-33,Diane,Watson,D,D+36,D+35.75,7
CA-34,Lucille,Roybal-Allard,D,D+23,D+23.47,36
CA-35,Maxine,Waters,D,D+33,D+32.6,18
CA-36,Jane,Harman,D,D+9,D+9.34,107
CA-37,Juanita,Millender-McDonald,D,D+28,D+27.64,28
CA-38,Grace,Napolitano,D,D+21,D+21.23,40
CA-39,Linda,Sánchez,D,D+13,D+13.46,79
CA-40,Ed,Royce,R,R+8,R+8.27,316
CA-41,Jerry,Lewis,R,R+8,R+8.07,312
CA-42,Gary,Miller,R,R+11,R+10.51,339
CA-43,Joe,Baca,D,D+15,D+14.75,69
CA-44,Ken,Calvert,R,R+5,R+5.06,261
CA-45,Mary,Bono,R,R+3,R+2.6,221
CA-46,Dana,Rohrabacher,R,R+7,R+7.03,295
CA-47,Loretta,Sanchez,D,D+7,D+7.37,125
CA-48,Christopher,Cox,R,R+10,R+9.68,327
CA-49,Darrell,Issa,R,R+10,R+10.44,338
CA-50,Duke,Cunningham,R,R+6,R+6.19,283
CA-51,Bob,Filner,D,D+8,D+8.11,116
CA-52,Duncan L.,Hunter,R,R+9,R+9.46,325
CA-53,Susan,Davis,D,D+10,D+10.3,101
CO-01,Diana,DeGette,D,D+15,D+14.67,71
CO-02,Mark,Udall,D,D+5,D+4.75,153
CO-03,Scott,McInnis,R,R+8,R+8.13,313
CO-04,Marilyn,Musgrave,R,R+11,R+11.3,347
CO-05,Joel,Hefley,R,R+17,R+17.21,403
CO-06,Tom,Tancredo,R,R+12,R+12.17,359
CO-07,Bob,Beauprez,R,EVEN,D+0.21,191
CT-01,John B.,Larson,D,D+15,D+14.73,70
CT-02,Rob,Simmons,R,D+7,D+7.46,123
CT-03,Rosa,DeLauro,D,D+13,D+13.29,80
CT-04,Chris,Shays,R,D+5,D+4.93,150
CT-05,Nancy,Johnson,R,D+4,D+4.43,155
