Dist,First,Last,Party,2005 PVI,2005 Raw PVI,Rank
IA-02,Jim,Leach,R,D+7,D+6.59,134
IA-03,Leonard,Boswell,D,D+1,D+0.91,185
IA-04,Tom,Latham,R,EVEN,R+0.13,193
IA-05,Steve,King,R,R+9,R+9.12,316
KS-01,Jerry,Moran,R,R+21,R+21.47,425
KS-02,Jim,Ryun,R,R+8,R+8.37,312
KS-03,Dennis,Moore,D,R+5,R+4.5,249
KS-04,Todd,Tiahrt,R,R+13,R+13.37,373
KY-01,Ed,Whitfield,R,R+12,R+11.8,350
KY-02,Ron,Lewis,R,R+14,R+13.93,379
KY-03,Anne,Northup,R,D+2,D+1.95,179
KY-04,Geoff,Davis,R,R+12,R+12.48,359
KY-05,Hal,Rogers,R,R+9,R+9.23,318
KY-06,Ben,Chandler,D,R+7,R+7.37,298
LA-01,Bobby,Jindal,R,R+20,R+19.6,419
LA-02,William J.,Jefferson,D,D+27,D+27,27
LA-03,Charlie,Melançon,D,R+6,R+6.43,282
LA-04,Jim,McCrery,R,R+8,R+7.82,304
LA-05,Rodney,Alexander,R,R+11,R+10.83,340
LA-06,Richard H.,Baker,R,R+8,R+7.75,303
LA-07,Charles,Boustany,R,R+9,R+8.64,313
ME-01,Tom,Allen,D,D+6,D+6.39,137
ME-02,Mike,Michaud,D,D+3,D+3.48,160
MD-01,Wayne,Gilchrist,R,R+11,R+11.26,345
MD-02,Dutch,Ruppersberger,D,D+7,D+6.58,135
MD-03,Ben,Cardin,D,D+6,D+5.97,141
MD-04,Albert,Wynn,D,D+30,D+29.6,24
MD-05,Steny,Hoyer,D,D+9,D+8.75,117
MD-06,Roscoe,Bartlett,R,R+14,R+13.89,378
MD-07,Elijah,Cummings,D,D+25,D+24.53,34
MD-08,Chris,Van Hollen,D,D+20,D+19.98,48
MA-01,John,Olver,D,D+15,D+14.64,72
MA-02,Richard,Neal,D,D+11,D+11.46,91
MA-03,Jim,McGovern,D,D+11,D+11.37,92
MA-04,Barney,Frank,D,D+18,D+17.77,59
MA-05,Marty,Meehan,D,D+10,D+9.56,110
MA-06,John F.,Tierney,D,D+10,D+10.23,104
MA-07,Ed,Markey,D,D+18,D+18.01,58
MA-08,Mike,Capuano,D,D+32,D+31.99,19
MA-09,Stephen F.,Lynch,D,D+15,D+14.77,71
MA-10,Bill,Delahunt,D,D+8,D+7.62,126
MI-01,Bart,Stupak,D,R+3,R+2.91,224
MI-02,Pete,Hoekstra,R,R+10,R+9.82,326
MI-03,Vern,Ehlers,R,R+9,R+9.08,315
MI-04,Dave,Camp,R,R+4,R+4.47,248
MI-05,Dale,Kildee,D,D+11,D+10.79,99
MI-06,Fred,Upton,R,R+3,R+2.56,218
MI-07,Joe,Schwarz,R,R+3,R+3.36,233
MI-08,Mike,Rogers,R,R+3,R+2.83,222
MI-09,Joe,Knollenberg,R,EVEN,R+0.25,195
MI-10,Candice,Miller,R,R+5,R+5.36,265
MI-11,Thaddeus,McCotter,R,R+2,R+1.78,211
MI-12,Sander,Levin,D,D+12,D+11.95,89
MI-13,Carolyn Cheeks,Kilpatrick,D,D+32,D+31.69,20
MI-14,John,Conyers,D,D+33,D+33.23,16
MI-15,John,Dingell,D,D+13,D+12.56,85
MN-01,Gil,Gutknecht,R,R+1,R+1.1,207
MN-02,John,Kline,R,R+3,R+3.37,234
MN-03,Jim,Ramstad,R,R+1,R+0.74,203
MN-04,Betty,McCollum,D,D+13,D+12.82,82
MN-05,Martin Olav,Sabo,D,D+22,D+21.92,41
MN-06,Mark,Kennedy,R,R+6,R+5.93,276
MN-07,Collin,Peterson,D,R+6,R+5.68,270
MN-08,Jim,Oberstar,D,D+4,D+4.09,157
MS-01,Roger,Wicker,R,R+11,R+11.15,342
MS-02,Bennie,Thompson,D,D+10,D+9.94,106
MS-03,Chip,Pickering,R,R+15,R+14.61,383
MS-04,Gene,Taylor,D,R+17,R+17.28,407
MO-01,Lacy,Clay,D,D+26,D+25.64,33
MO-02,Todd,Akin,R,R+9,R+9.2,317
MO-03,Russ,Carnahan,D,D+7,D+7.47,129
MO-04,Ike,Skelton,D,R+12,R+12.46,358
MO-05,Emanuel,Cleaver,D,D+11,D+11.06,97
MO-06,Sam,Graves,R,R+6,R+5.91,274
MO-07,Roy,Blunt,R,R+16,R+15.66,393
MO-08,Jo Ann,Emerson,R,R+12,R+12.24,353
MO-09,Kenny,Hulshof,R,R+8,R+7.55,301
MT-00,Denny,Rehberg,R,R+10,R+10.42,336
NE-01,Jeff,Fortenberry,R,R+12,R+12.46,357
NE-02,Lee,Terry,R,R+10,R+9.75,325
NE-03,Tom,Osborne,R,R+25,R+24.52,429
NV-01,Shelley,Berkley,D,D+8,D+8.49,121
NV-02,Jim,Gibbons,R,R+8,R+7.97,305
NV-03,Jon,Porter,R,EVEN,D+0.42,186
NH-01,Jeb,Bradley,R,EVEN,R+0.4,197
NH-02,Charlie,Bass,R,D+3,D+2.86,166
NJ-01,Rob,Andrews,D,D+13,D+12.58,84
NJ-02,Frank,LoBiondo,R,D+2,D+2.05,177
NJ-03,Jim,Saxton,R,D+1,D+1.25,183
NJ-04,Chris,Smith,R,R+3,R+3.3,232
NJ-05,Scott,Garrett,R,R+6,R+5.63,269
NJ-06,Frank,Pallone,D,D+9,D+9.43,113
NJ-07,Mike,Ferguson,R,R+2,R+1.64,210
NJ-08,Bill,Pascrell,D,D+11,D+10.61,102
NJ-09,Steve,Rothman,D,D+11,D+11.27,94
NJ-10,Donald M.,Payne,D,D+33,D+33.45,15
NJ-11,Rodney,Frelinghuysen,R,R+7,R+6.51,284
NJ-12,Rush,Holt Jr.,D,D+6,D+6.32,139
NJ-13,Bob,Menendez,D,D+21,D+21.16,44
NM-01,Heather,Wilson,R,D+2,D+2.26,172
